deltaT[s], maxEuc_dU[pixels], max_dU[pixels], max_dV[pixels], Avg Inv Kinem Time [ms], Avg Img Rec Time [ms]
1, 59, -54, 24, 0, 31.4
0.95, 59, -54, 24, 0, 32.3
0.9, 59, -54, 24, 0, 31.78
0.85, 59, -54, 24, 0, 31.66
0.8, 59, -54, 24, 0, 31.9
0.75, 59, -54, 24, 0, 32.24
0.7, 59, -54, 24, 0, 33.3
0.65, 59, -54, 24, 0, 33.68
0.6, 59, -54, 24, 0, 32.16
0.55, 59, -54, 24, 0, 31.98
0.5, 59, -54, 24, 0, 31.6
0.45, 59, -54, 24, 0, 31.62
0.4, 59, -54, 24, 0, 31.86
0.35, 59, -54, 24, 0, 31.64
0.3, 59, -54, 24, 0, 32.06
0.25, 59, -54, 24, 0, 34.66
0.2, 59, -54, 24, 0, 32.76
0.15, 59, -54, 24, 0, 32.46
0.1, 59, -54, 24, 0, 33.36
0.05, 60, -56, 24, 0, 32.94
