deltaT[s], maxEuc_dU_[pixels], max_dU_1[pixels], max_dV_1[pixels], max_dU_2[pixels], max_dV_2[pixels], max_dU_3[pixels], max_dV_3[pixels], Avg Inv Kinem Time [ms], Avg Img Rec Time [ms]
1, 191, -9, 58, -10, 64, -9, 69, 0.08, 0
0.95, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.9, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.85, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.8, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.75, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.7, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.65, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.6, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.55, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.5, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.45, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.4, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.35, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.3, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.25, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.2, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.15, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.1, 191, -9, 58, -10, 64, -9, 69, 0, 0
0.05, 191, -9, 58, -10, 64, -9, 69, 0, 0
