deltaT[s], maxEuc_dU[pixels], max_dU[pixels], max_dV[pixels], Avg Inv Kinem Time [ms], Avg Img Rec Time [ms]
0.02, 60, -56, 23, 0, 0
0.019, 60, -56, 23, 0, 0
0.018, 60, -56, 23, 0, 0
0.017, 60, -56, 23, 0, 0
0.016, 60, -56, 23, 0, 0
0.015, 60, -56, 23, 0.02, 0
0.014, 60, -56, 23, 0, 0
0.013, 60, -56, 23, 0, 0
0.012, 60, -56, 23, 0, 0
0.011, 60, -56, 23, 0, 0
0.01, 60, -56, 22, 0, 0
0.009, 63, -59, 23, 0, 0
0.008, 66, -62, 23, 0, 0
0.007, 80, -77, 24, 0, 0
0.006, 123, -121, 25, 0, 0
0.005, 166, -164, 27, 0, 0
