time[s], Q0, Q1, Q2, Q3, Q4, Q5, Q6, Time for Inverse kinematics[s], Time for move[ms]
0, 0, -0.65, 0, 1.8, 0, 0.42, 0, 0, 0
1, 0, -0.65, 0, 1.8, 0, 0.42, 0, 81, 919
2, -0.0168648, -0.651082, -0.019828, 1.80003, -0.00615751, 0.42039, -0.000886362, 83, 917
3, -0.0337273, -0.652203, -0.0396489, 1.79998, -0.0123127, 0.420819, -0.00176714, 79, 921
4, -0.0502882, -0.65355, -0.0591013, 1.79957, -0.018362, 0.421095, -0.00263406, 139, 861
5, -0.0665532, -0.654906, -0.078207, 1.79909, -0.0243016, 0.421396, -0.00348149, 136, 864
6, -0.0827989, -0.656512, -0.0972728, 1.79824, -0.0302359, 0.421553, -0.00432931, 113, 887
7, -0.0984562, -0.658093, -0.115653, 1.79734, -0.0359541, 0.421718, -0.0051443, 80, 920
8, -0.11409, -0.659921, -0.133986, 1.79608, -0.0416636, 0.421736, -0.00595998, 85, 915
9, -0.12913, -0.661716, -0.151632, 1.79478, -0.0471538, 0.421761, -0.00674214, 82, 918
10, -0.143866, -0.663511, -0.168929, 1.79344, -0.0525301, 0.421801, -0.00750606, 81, 919
11, -0.146193, -0.663642, -0.171687, 1.79336, -0.0533836, 0.421878, -0.00762901, 95, 905
12, -0.146484, -0.663657, -0.172032, 1.79335, -0.0534905, 0.421887, -0.00764447, 80, 920
13, -0.146484, -0.663657, -0.172032, 1.79335, -0.0534905, 0.421887, -0.00764447, 80, 920
14, -0.146484, -0.663657, -0.172032, 1.79335, -0.0534905, 0.421887, -0.00764447, 82, 918
15, -0.146484, -0.663657, -0.172032, 1.79335, -0.0534905, 0.421887, -0.00764447, 111, 889
16, -0.146484, -0.663657, -0.172032, 1.79335, -0.0534905, 0.421887, -0.00764447, 114, 886
17, -0.146484, -0.663657, -0.172032, 1.79335, -0.0534905, 0.421887, -0.00764447, 108, 892
18, -0.146484, -0.663657, -0.172032, 1.79335, -0.0534905, 0.421887, -0.00764447, 113, 887
19, -0.146484, -0.663657, -0.172032, 1.79335, -0.0534905, 0.421887, -0.00764447, 82, 918
20, -0.146484, -0.663657, -0.172032, 1.79335, -0.0534905, 0.421887, -0.00764447, 114, 886
21, -0.133395, -0.666978, -0.155822, 1.78865, -0.0487468, 0.418539, -0.00710283, 113, 887
22, -0.118356, -0.670982, -0.137078, 1.7831, -0.0433199, 0.414682, -0.00648604, 107, 893
23, -0.102823, -0.675242, -0.117595, 1.77723, -0.037742, 0.410697, -0.00585077, 861, 139
24, -0.0870897, -0.679542, -0.0977462, 1.77135, -0.0321146, 0.406769, -0.00520141, 119, 881
25, -0.0714433, -0.6841, -0.0778588, 1.76515, -0.0265507, 0.402727, -0.00456462, 80, 920
26, -0.0558878, -0.688917, -0.0579345, 1.75863, -0.0210519, 0.398576, -0.00394042, 81, 919
27, -0.0401444, -0.693781, -0.0376372, 1.7521, -0.0155088, 0.394492, -0.00330247, 589, 411
28, -0.0244935, -0.69869, -0.0173195, 1.74557, -0.0100222, 0.390475, -0.00266572, 111, 889
29, -0.0092127, -0.703861, 0.00267137, 1.73873, -0.00470079, 0.386354, -0.00205638, 111, 889
30, 0.00597389, -0.709078, 0.0226842, 1.73189, 0.000565583, 0.382303, -0.00144807, 79, 921
31, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 97, 903
32, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 159, 841
33, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 81, 919
34, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 80, 920
35, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 78, 922
36, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 117, 883
37, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 875, 125
38, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 82, 918
39, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 120, 880
40, 0.0084563, -0.709666, 0.0259693, 1.73102, 0.00143985, 0.381771, -0.00133078, 79, 921
41, -0.00435094, -0.710456, 0.00904877, 1.73108, -0.00319839, 0.382042, -0.00205633, 808, 192
42, -0.0193273, -0.71127, -0.0107317, 1.73142, -0.00861191, 0.382602, -0.00288869, 91, 909
43, -0.0342943, -0.712348, -0.0304857, 1.73144, -0.014026, 0.383039, -0.00371999, 80, 920
44, -0.0489877, -0.713442, -0.0498774, 1.73142, -0.0193405, 0.383511, -0.00453104, 78, 922
45, -0.0636771, -0.714578, -0.0692606, 1.73138, -0.0246525, 0.384028, -0.00533599, 570, 430
46, -0.0780924, -0.715727, -0.0882799, 1.7313, -0.0298654, 0.384578, -0.00612121, 81, 919
47, -0.0922252, -0.717103, -0.106902, 1.73089, -0.0349793, 0.384983, -0.00689228, 78, 922
48, -0.10608, -0.718488, -0.125159, 1.73046, -0.0399927, 0.385414, -0.00764433, 79, 921
49, -0.119657, -0.719879, -0.143051, 1.73, -0.044906, 0.38587, -0.00837772, 80, 920
50, -0.132955, -0.721268, -0.16058, 1.72953, -0.0497183, 0.386349, -0.00909156, 80, 920
