time[s], Q0, Q1, Q2, Q3, Q4, Q5, Q6, Time for Inverse kinematics[s], Time for move[ms]
0, 0, -0.65, 0, 1.8, 0, 0.42, 0, 0, 0
1, 0, -0.65, 0, 1.8, 0, 0.42, 0, 1061, 0
2, -0.016352, -0.638212, -0.0202397, 1.79543, -0.00784058, 0.412365, -0.00354645, 137, 863
3, -0.0323854, -0.628129, -0.0405198, 1.79114, -0.0146082, 0.405704, -0.00602319, 109, 891
4, -0.0481823, -0.611592, -0.0612113, 1.78423, -0.0224493, 0.395047, -0.0100712, 138, 862
5, -0.0628871, -0.587514, -0.0825998, 1.77387, -0.0295865, 0.379568, -0.0140681, 143, 857
6, -0.0771435, -0.565222, -0.10513, 1.76342, -0.0334453, 0.364792, -0.0147743, 148, 852
7, -0.0910095, -0.538702, -0.127287, 1.75115, -0.0385475, 0.347883, -0.0171654, 110, 890
8, -0.104349, -0.50968, -0.149347, 1.73716, -0.0434989, 0.329484, -0.0197576, 136, 864
9, -0.116748, -0.480676, -0.172895, 1.72228, -0.0432548, 0.310629, -0.0172712, 110, 890
10, -0.128856, -0.444883, -0.195656, 1.70434, -0.0460348, 0.288604, -0.0183437, 143, 857
11, -0.134863, -0.451007, -0.181196, 1.70837, -0.0889712, 0.295395, -0.0618303, 148, 852
12, -0.14008, -0.45191, -0.164854, 1.71104, -0.135283, 0.299922, -0.109101, 142, 858
13, -0.145404, -0.449906, -0.149127, 1.71319, -0.181714, 0.303061, -0.156485, 143, 857
14, -0.150804, -0.448163, -0.133233, 1.71605, -0.228896, 0.306397, -0.204621, 151, 849
15, -0.156639, -0.446726, -0.117557, 1.71992, -0.276905, 0.310177, -0.25352, 147, 853
16, -0.162483, -0.443171, -0.102308, 1.7231, -0.325067, 0.312656, -0.302528, 148, 852
17, -0.168419, -0.446551, -0.0860741, 1.73073, -0.373556, 0.319045, -0.351926, 133, 867
18, -0.174477, -0.446698, -0.0710396, 1.73693, -0.420798, 0.323555, -0.39997, 142, 858
19, -0.180859, -0.450351, -0.0550141, 1.74603, -0.46991, 0.330293, -0.449997, 114, 886
20, -0.187481, -0.449953, -0.0400284, 1.75337, -0.518613, 0.334938, -0.499494, 149, 851
21, -0.172318, -0.482587, -0.0195401, 1.76537, -0.515098, 0.341101, -0.499742, 147, 853
22, -0.155262, -0.513576, 0.0011939, 1.77507, -0.507726, 0.345247, -0.49636, 149, 851
23, -0.138595, -0.535887, 0.0211227, 1.77912, -0.501564, 0.345152, -0.49382, 142, 858
24, -0.122098, -0.554894, 0.0405017, 1.78137, -0.495409, 0.343668, -0.491132, 151, 849
25, -0.105433, -0.568928, 0.0588968, 1.7804, -0.488061, 0.339659, -0.487009, 146, 854
26, -0.0894688, -0.582443, 0.078439, 1.77938, -0.484174, 0.335512, -0.486329, 142, 858
27, -0.0735848, -0.59125, 0.0969222, 1.77563, -0.479247, 0.329212, -0.484354, 142, 858
28, -0.0584907, -0.591525, 0.114404, 1.76641, -0.475083, 0.318671, -0.48268, 160, 840
29, -0.0434367, -0.590578, 0.131682, 1.75682, -0.47056, 0.307846, -0.480555, 147, 853
30, -0.0292147, -0.586311, 0.149149, 1.74529, -0.467921, 0.295567, -0.480121, 166, 834
31, -0.0277775, -0.589299, 0.151372, 1.74622, -0.46809, 0.296062, -0.480574, 146, 854
32, -0.0282695, -0.586389, 0.151068, 1.7446, -0.468915, 0.294665, -0.481336, 114, 886
33, -0.0277103, -0.586614, 0.150827, 1.7446, -0.467377, 0.294697, -0.479807, 113, 887
34, -0.0281737, -0.586786, 0.151075, 1.74483, -0.46869, 0.294861, -0.481118, 148, 852
35, -0.0276143, -0.587011, 0.150834, 1.74482, -0.467152, 0.294893, -0.479589, 143, 857
36, -0.0280779, -0.587182, 0.151082, 1.74505, -0.468465, 0.295058, -0.480901, 112, 888
37, -0.0275183, -0.587407, 0.150841, 1.74505, -0.466927, 0.295089, -0.479372, 141, 859
38, -0.027982, -0.587578, 0.151089, 1.74528, -0.46824, 0.295254, -0.480683, 131, 869
39, -0.0278111, -0.586226, 0.150758, 1.74429, -0.467533, 0.294456, -0.479944, 170, 830
40, -0.0282744, -0.586398, 0.151005, 1.74451, -0.468846, 0.294621, -0.481256, 112, 888
41, -0.0514426, -0.587845, 0.14894, 1.75256, -0.513558, 0.302622, -0.524594, 142, 858
42, -0.078874, -0.578271, 0.14444, 1.7537, -0.565699, 0.305512, -0.574957, 161, 839
43, -0.106478, -0.56107, 0.13791, 1.74951, -0.617188, 0.304663, -0.624462, 136, 864
44, -0.1339, -0.547616, 0.132103, 1.74789, -0.669705, 0.306323, -0.675127, 133, 867
45, -0.161813, -0.532751, 0.126114, 1.74594, -0.724064, 0.308208, -0.727668, 144, 856
46, -0.189454, -0.514381, 0.118635, 1.74106, -0.777066, 0.30866, -0.778643, 106, 894
47, -0.217388, -0.496245, 0.111444, 1.73677, -0.832329, 0.310063, -0.831995, 136, 864
48, -0.24482, -0.479786, 0.104729, 1.73378, -0.888105, 0.312724, -0.886025, 140, 860
49, -0.272461, -0.457746, 0.0963012, 1.72614, -0.943637, 0.31325, -0.939394, 141, 859
50, -0.298401, -0.441941, 0.0885636, 1.72259, -0.996627, 0.316536, -0.990654, 142, 858
