time[s], x, y, z, R, P, Y
0, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
1, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
2, -0.0174915, -0.318096, 1.69379, 3.10643, 0.00551189, 1.57214, 
3, -0.0349291, -0.316413, 1.69389, 3.07129, 0.0110638, 1.57252, 
4, -0.0519672, -0.31387, 1.69417, 3.0368, 0.0165495, 1.57343, 
5, -0.0686006, -0.310691, 1.69434, 3.00293, 0.0219823, 1.57417, 
6, -0.0850709, -0.306662, 1.69469, 2.96911, 0.0274552, 1.57545, 
7, -0.100804, -0.302143, 1.69495, 2.93651, 0.0327785, 1.57657, 
8, -0.116325, -0.296835, 1.69539, 2.90397, 0.0381507, 1.57825, 
9, -0.131085, -0.291146, 1.69574, 2.87266, 0.0433749, 1.57976, 
10, -0.145362, -0.285024, 1.69601, 2.84197, 0.048544, 1.58115, 
11, -0.147627, -0.284122, 1.69591, 2.8371, 0.0493462, 1.581, 
12, -0.14791, -0.284009, 1.69589, 2.83649, 0.0494463, 1.58098, 
13, -0.14791, -0.284009, 1.69589, 2.83649, 0.0494463, 1.58098, 
14, -0.14791, -0.284009, 1.69589, 2.83649, 0.0494463, 1.58098, 
15, -0.14791, -0.284009, 1.69589, 2.83649, 0.0494463, 1.58098, 
16, -0.14791, -0.284009, 1.69589, 2.83649, 0.0494463, 1.58098, 
17, -0.14791, -0.284009, 1.69589, 2.83649, 0.0494463, 1.58098, 
18, -0.14791, -0.284009, 1.69589, 2.83649, 0.0494463, 1.58098, 
19, -0.14791, -0.284009, 1.69589, 2.83649, 0.0494463, 1.58098, 
20, -0.14791, -0.284009, 1.69589, 2.83649, 0.0494463, 1.58098, 
21, -0.134434, -0.285597, 1.70111, 2.8643, 0.0449966, 1.59391, 
22, -0.11875, -0.286713, 1.70712, 2.89635, 0.0396407, 1.60895, 
23, -0.102365, -0.287112, 1.7133, 2.92955, 0.0338248, 1.62456, 
24, -0.0856179, -0.286849, 1.71934, 2.96327, 0.0276384, 1.63997, 
25, -0.0688071, -0.285635, 1.72547, 2.99692, 0.0211754, 1.65586, 
26, -0.0519687, -0.28346, 1.7317, 3.03047, 0.0144228, 1.6722, 
27, -0.0348581, -0.280548, 1.73775, 3.06452, 0.00726431, 1.68829, 
28, -0.0178025, -0.276855, 1.7436, 3.09847, -0.000180585, 1.70413, 
29, -0.00112298, -0.272165, 1.74949, 3.13171, -0.00780396, 1.72038, 
30, 0.0154374, -0.266722, 1.75518, -3.11835, -0.0157152, 1.73635, 
31, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
32, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
33, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
34, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
35, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
36, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
37, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
38, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
39, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
40, 0.0181424, -0.266003, 1.75586, -3.1129, -0.0170041, 1.73829, 
41, 0.00419506, -0.265835, 1.75612, -3.1411, -0.0106552, 1.73892, 
42, -0.0120988, -0.265218, 1.75606, 3.10915, -0.00318158, 1.7388, 
43, -0.0283324, -0.263725, 1.75611, 3.07625, 0.00430954, 1.73913, 
44, -0.0442064, -0.261631, 1.75602, 3.04397, 0.0116997, 1.73923, 
45, -0.0599899, -0.258915, 1.7558, 3.01172, 0.0191214, 1.73911, 
46, -0.0753743, -0.255652, 1.75545, 2.98008, 0.0264328, 1.73877, 
47, -0.0903074, -0.25166, 1.75522, 2.94909, 0.0336305, 1.73892, 
48, -0.104809, -0.247198, 1.75488, 2.91871, 0.0407198, 1.73888, 
49, -0.11887, -0.242303, 1.75443, 2.88894, 0.047696, 1.73866, 
50, -0.132484, -0.237018, 1.75388, 2.85978, 0.054557, 1.73825, 
