time[s], x, y, z, R, P, Y
0, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
1, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
2, -0.0177921, -0.3244, 1.69345, 3.10583, 0.00133114, 1.57188, 
3, -0.0356183, -0.328161, 1.69337, 3.07062, 0.00437031, 1.57238, 
4, -0.0539974, -0.334315, 1.69304, 3.03457, 0.00435799, 1.57281, 
5, -0.072903, -0.343348, 1.69254, 2.99881, 0.00423392, 1.57374, 
6, -0.0924177, -0.350612, 1.69223, 2.96341, 0.0102759, 1.57561, 
7, -0.112117, -0.359237, 1.69144, 2.92767, 0.0118545, 1.57706, 
8, -0.131997, -0.368304, 1.69055, 2.89203, 0.011867, 1.57912, 
9, -0.152467, -0.376444, 1.68981, 2.85728, 0.0213363, 1.58241, 
10, -0.173213, -0.387244, 1.68824, 2.82166, 0.0214889, 1.58523, 
11, -0.168153, -0.38565, 1.68807, 2.8158, -0.0680284, 1.58145, 
12, -0.162243, -0.387099, 1.68704, 2.81153, -0.166382, 1.57698, 
13, -0.156996, -0.389874, 1.68535, 2.80721, -0.265265, 1.57213, 
14, -0.151731, -0.392561, 1.68335, 2.80346, -0.365703, 1.56718, 
15, -0.146825, -0.395052, 1.68085, 2.79984, -0.467646, 1.56142, 
16, -0.142358, -0.398469, 1.6781, 2.79681, -0.570027, 1.55575, 
17, -0.136958, -0.398808, 1.6751, 2.79516, -0.672717, 1.54862, 
18, -0.132518, -0.400452, 1.67188, 2.79411, -0.772886, 1.54107, 
19, -0.127546, -0.400603, 1.66821, 2.7949, -0.877023, 1.53105, 
20, -0.123569, -0.402457, 1.66423, 2.79807, -0.980368, 1.51875, 
21, -0.102754, -0.391409, 1.66983, 2.80604, -0.98265, 1.54733, 
22, -0.0812884, -0.380376, 1.6758, 2.8149, -0.978437, 1.57945, 
23, -0.0611819, -0.372212, 1.6819, 2.82312, -0.976827, 1.61284, 
24, -0.04184, -0.364665, 1.68769, 2.83195, -0.975306, 1.64543, 
25, -0.0232786, -0.358469, 1.69361, 2.84214, -0.971068, 1.6777, 
26, -0.00461069, -0.351761, 1.69921, 2.8501, -0.97417, 1.71136, 
27, 0.0132543, -0.346393, 1.70482, 2.85966, -0.974577, 1.74384, 
28, 0.0302279, -0.344067, 1.71111, 2.86881, -0.975116, 1.7774, 
29, 0.0470562, -0.341674, 1.71711, 2.87974, -0.974621, 1.80921, 
30, 0.0637167, -0.34014, 1.72321, 2.8891, -0.977089, 1.8422, 
31, 0.0655471, -0.338392, 1.72352, 2.88889, -0.978586, 1.84586, 
32, 0.0652569, -0.339779, 1.72368, 2.88807, -0.979777, 1.84641, 
33, 0.0653537, -0.339626, 1.72373, 2.89031, -0.97682, 1.84513, 
34, 0.0652886, -0.339591, 1.72365, 2.88836, -0.979393, 1.84619, 
35, 0.0653853, -0.339438, 1.72371, 2.8906, -0.976436, 1.84492, 
36, 0.0653203, -0.339403, 1.72363, 2.88865, -0.979009, 1.84598, 
37, 0.0654168, -0.33925, 1.72368, 2.89088, -0.976052, 1.84471, 
38, 0.0653519, -0.339216, 1.7236, 2.88894, -0.978625, 1.84576, 
39, 0.0652901, -0.339791, 1.72382, 2.88992, -0.976996, 1.84549, 
40, 0.0652249, -0.339756, 1.72374, 2.88796, -0.979569, 1.84655, 
41, 0.0537774, -0.342028, 1.71955, 2.81179, -1.06139, 1.87306, 
42, 0.0391835, -0.348945, 1.71659, 2.70512, -1.15353, 1.92507, 
43, 0.0230684, -0.35854, 1.71459, 2.56926, -1.24106, 2.00815, 
44, 0.00695604, -0.365795, 1.71206, 2.36666, -1.32699, 2.1575, 
45, -0.00995792, -0.373061, 1.7092, 1.9989, -1.40429, 2.4713, 
46, -0.0280621, -0.380967, 1.70687, 1.33113, -1.44345, 3.08648, 
47, -0.0466242, -0.388026, 1.70413, 0.572459, -1.41461, -2.49139, 
48, -0.0650063, -0.393601, 1.70107, 0.152441, -1.33811, -2.12429, 
49, -0.0851169, -0.400529, 1.69869, -0.0684291, -1.24702, -1.95558, 
50, -0.103895, -0.404043, 1.69594, -0.207664, -1.15429, -1.86738, 
