time[s], Q0, Q1, Q2, Q3, Q4, Q5, Q6, Time for Inverse kinematics[s], Time for move[ms]
0, 0, -0.65, 0, 1.8, 0, 0.42, 0, 0, 0
1, 0.0120341, -0.649926, 0.0141859, 1.79999, 0.0044071, 0.41997, 0.000660135, 87, 913
2, 0.00676454, -0.649917, 0.00797699, 1.80031, 0.00248595, 0.420218, 0.000383104, 159, 841
3, 0.00179146, -0.650114, 0.00212194, 1.80032, 0.000665465, 0.420286, 0.000114215, 84, 916
4, -0.00347347, -0.650329, -0.00407633, 1.80033, -0.00126169, 0.420363, -0.000169972, 119, 881
5, -0.00844632, -0.650533, -0.00993069, 1.80033, -0.00308194, 0.420438, -0.000438231, 107, 893
6, -0.013419, -0.650741, -0.0157847, 1.80032, -0.00490207, 0.420517, -0.000706181, 85, 915
7, -0.0186776, -0.651184, -0.0219675, 1.80001, -0.00683354, 0.420425, -0.000997071, 117, 883
8, -0.0236485, -0.651399, -0.0278215, 1.79999, -0.00865264, 0.420511, -0.00126435, 86, 914
9, -0.0286193, -0.651617, -0.0336749, 1.79997, -0.0104716, 0.420599, -0.00153131, 83, 917
10, -0.0335899, -0.65184, -0.0395279, 1.79993, -0.0122904, 0.420691, -0.00179796, 81, 919
11, -0.038852, -0.652081, -0.0457236, 1.7999, -0.0142158, 0.420794, -0.00207972, 113, 887
12, -0.0438162, -0.652527, -0.0515561, 1.79955, -0.0160384, 0.420713, -0.00235341, 85, 915
13, -0.0487845, -0.652759, -0.0574081, 1.7995, -0.017856, 0.420816, -0.00261904, 98, 902
14, -0.0537468, -0.653212, -0.0632382, 1.79914, -0.0196774, 0.420742, -0.00289203, 115, 885
15, -0.0587131, -0.653452, -0.0690897, 1.79908, -0.0214939, 0.420851, -0.00315698, 111, 889
16, -0.0633875, -0.653678, -0.0745972, 1.79902, -0.0232038, 0.420956, -0.00340626, 82, 918
17, -0.0683473, -0.65414, -0.080423, 1.79864, -0.0250235, 0.420892, -0.0036782, 83, 917
18, -0.0733054, -0.654606, -0.0862479, 1.79826, -0.0268422, 0.420831, -0.00394978, 81, 919
19, -0.0779762, -0.654842, -0.0917549, 1.79818, -0.0285502, 0.420945, -0.00419809, 81, 919
20, -0.0829321, -0.655315, -0.097577, 1.79779, -0.0303674, 0.420891, -0.00446895, 110, 890
21, -0.0875951, -0.655773, -0.103055, 1.79739, -0.0320774, 0.420831, -0.00472427, 90, 910
22, -0.0925531, -0.656037, -0.108904, 1.79729, -0.0338898, 0.420963, -0.00498681, 127, 873
23, -0.097214, -0.656501, -0.11438, 1.79689, -0.0355985, 0.420909, -0.00524146, 88, 912
24, -0.101873, -0.656969, -0.119854, 1.79648, -0.0373062, 0.420858, -0.00549578, 98, 902
25, -0.10653, -0.657439, -0.125327, 1.79606, -0.0390128, 0.42081, -0.00574974, 82, 918
26, -0.111186, -0.657913, -0.130799, 1.79564, -0.0407185, 0.420766, -0.00600337, 106, 894
27, -0.115845, -0.658175, -0.136304, 1.79552, -0.0424209, 0.420904, -0.00624907, 110, 890
28, -0.120499, -0.658655, -0.141773, 1.79509, -0.0441253, 0.420865, -0.00650203, 81, 919
29, -0.12515, -0.659137, -0.147241, 1.79465, -0.0458286, 0.420828, -0.00675465, 110, 890
30, -0.12951, -0.659602, -0.152365, 1.79422, -0.0474249, 0.420786, -0.00699167, 110, 890
31, -0.134157, -0.660091, -0.157831, 1.79378, -0.0491262, 0.420755, -0.00724361, 85, 915
32, -0.138513, -0.660562, -0.162953, 1.79334, -0.0507206, 0.420717, -0.00748, 106, 894
33, -0.143157, -0.661056, -0.168416, 1.79288, -0.0524198, 0.420692, -0.00773125, 108, 892
34, -0.146059, -0.661437, -0.171819, 1.79248, -0.0534839, 0.420607, -0.0078921, 114, 886
35, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 82, 918
36, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 88, 912
37, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 92, 908
38, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 81, 919
39, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 106, 894
40, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 85, 915
41, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 81, 919
42, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 102, 898
43, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 84, 916
44, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 163, 837
45, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 102, 898
46, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 82, 918
47, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 79, 921
48, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 108, 892
49, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 115, 885
50, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 106, 894
51, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 145, 855
52, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 94, 906
53, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 162, 838
54, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 150, 850
55, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 118, 882
56, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 110, 890
57, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 83, 917
58, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 100, 900
59, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 129, 871
60, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 86, 914
61, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 82, 918
62, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 134, 866
63, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 85, 915
64, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 114, 886
65, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 93, 907
66, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 107, 893
67, -0.14635, -0.661453, -0.172164, 1.79247, -0.0535903, 0.420616, -0.00790754, 128, 872
68, -0.141973, -0.662546, -0.166752, 1.7908, -0.0520113, 0.419407, -0.00772666, 113, 887
69, -0.137312, -0.663634, -0.16099, 1.78913, -0.0503302, 0.418194, -0.00753018, 104, 896
70, -0.132948, -0.664734, -0.155575, 1.78745, -0.0487603, 0.416994, -0.0073492, 106, 894
71, -0.128301, -0.665828, -0.14981, 1.78578, -0.0470888, 0.415789, -0.00715261, 97, 903
72, -0.123661, -0.666925, -0.144043, 1.7841, -0.0454221, 0.41459, -0.00695596, 109, 891
73, -0.119028, -0.668026, -0.138276, 1.78242, -0.0437601, 0.413395, -0.00675924, 90, 910
74, -0.114403, -0.66913, -0.132507, 1.78073, -0.0421028, 0.412204, -0.00656246, 93, 907
75, -0.109784, -0.670237, -0.126736, 1.77905, -0.0404502, 0.411018, -0.0063656, 110, 890
76, -0.105172, -0.671348, -0.120964, 1.77735, -0.0388022, 0.409837, -0.00616867, 112, 888
77, -0.10028, -0.67267, -0.114811, 1.77537, -0.0370594, 0.408478, -0.00596522, 80, 920
78, -0.0956836, -0.673788, -0.109036, 1.77367, -0.0354212, 0.407307, -0.00576813, 105, 895
79, -0.0910927, -0.675126, -0.10323, 1.77167, -0.0337927, 0.405964, -0.00558006, 107, 893
80, -0.0862269, -0.676242, -0.0970999, 1.76998, -0.0320607, 0.404798, -0.00536721, 106, 894
81, -0.0816513, -0.677589, -0.0912927, 1.76797, -0.0304421, 0.403466, -0.00517897, 98, 902
82, -0.0768, -0.67893, -0.0851323, 1.76597, -0.0287258, 0.402134, -0.00497509, 103, 897
83, -0.0722428, -0.680066, -0.0793467, 1.76426, -0.0271119, 0.400988, -0.00477756, 110, 890
84, -0.0674076, -0.681417, -0.0731835, 1.76226, -0.0254058, 0.399668, -0.0045735, 497, 503
85, -0.0628636, -0.682779, -0.0673714, 1.76025, -0.0238071, 0.398358, -0.00438488, 112, 888
86, -0.0580459, -0.684137, -0.061204, 1.75824, -0.0221116, 0.397049, -0.00418061, 108, 892
87, -0.0532369, -0.6855, -0.0550348, 1.75623, -0.0204214, 0.395747, -0.00397622, 126, 874
88, -0.0487173, -0.686875, -0.0492183, 1.75421, -0.0188378, 0.394454, -0.00378729, 96, 904
89, -0.0439257, -0.688246, -0.0430449, 1.7522, -0.017158, 0.393163, -0.00358267, 105, 895
90, -0.0391426, -0.689623, -0.0368697, 1.75018, -0.0154834, 0.391878, -0.00337794, 109, 891
91, -0.0346474, -0.69101, -0.0310485, 1.74816, -0.0139145, 0.390603, -0.00318866, 130, 870
92, -0.0298817, -0.692395, -0.024869, 1.74615, -0.0122501, 0.38933, -0.00298368, 112, 888
93, -0.0251245, -0.693785, -0.0186875, 1.74413, -0.0105908, 0.388064, -0.00277857, 83, 917
94, -0.0206536, -0.695186, -0.0128618, 1.74211, -0.00903621, 0.386805, -0.00258891, 107, 893
95, -0.0159136, -0.696585, -0.00667599, 1.74009, -0.00738681, 0.385551, -0.00238353, 112, 888
96, -0.0111823, -0.69799, -0.000488246, 1.73806, -0.00574235, 0.384303, -0.00217802, 110, 890
97, -0.00673243, -0.699625, 0.00535315, 1.73575, -0.0042093, 0.382892, -0.00199715, 109, 891
98, -0.0020196, -0.701038, 0.0115466, 1.73373, -0.0025751, 0.381657, -0.00179134, 120, 880
