time[s], Q0, Q1, Q2, Q3, Q4, Q5, Q6, Time for Inverse kinematics[s], Time for move[ms]
0, 0, -0.65, 0, 1.8, 0, 0.42, 0, 0, 0
1, 0, -0.65, 0, 1.8, 0, 0.42, 0, 1655, 0
2, 0.0067441, -0.65256, 0.00763828, 1.80101, 0.00330832, 0.421611, 0.00135773, 791, 209
3, 0.00152734, -0.652958, 0.00235109, 1.80119, 0.000193786, 0.421927, -0.00021851, 106, 894
4, -0.00338301, -0.650291, -0.00342077, 1.80015, -0.00219813, 0.420218, -0.00123597, 143, 857
5, -0.00856759, -0.647434, -0.00954189, 1.79901, -0.00470941, 0.418386, -0.00230175, 109, 891
6, -0.0134534, -0.64473, -0.0153262, 1.79791, -0.00706619, 0.416651, -0.00330035, 105, 895
7, -0.018465, -0.640441, -0.0215156, 1.79631, -0.0094469, 0.414008, -0.00434024, 106, 894
8, -0.0229807, -0.637851, -0.0277806, 1.79496, -0.0103179, 0.412082, -0.00386086, 188, 812
9, -0.0279577, -0.633528, -0.0339877, 1.79332, -0.0126474, 0.409428, -0.00486864, 146, 854
10, -0.0329514, -0.629334, -0.039404, 1.79158, -0.0161884, 0.406814, -0.00718962, 112, 888
11, -0.0375546, -0.625192, -0.0460841, 1.78968, -0.0170131, 0.403998, -0.00670064, 144, 856
12, -0.0425133, -0.620968, -0.0515213, 1.78788, -0.020501, 0.401371, -0.00898938, 143, 857
13, -0.0467278, -0.613821, -0.0587644, 1.7847, -0.0204667, 0.396597, -0.00779206, 136, 864
14, -0.0519891, -0.609724, -0.0637573, 1.78314, -0.0252595, 0.394325, -0.0114085, 136, 864
15, -0.0563388, -0.604164, -0.0705246, 1.78032, -0.0258425, 0.390422, -0.0108181, 114, 886
16, -0.0608284, -0.597114, -0.0773327, 1.77732, -0.0270588, 0.385987, -0.0109063, 144, 856
17, -0.0653372, -0.590331, -0.0833405, 1.77429, -0.0295098, 0.381701, -0.0123244, 118, 882
18, -0.0695994, -0.581962, -0.0902323, 1.77043, -0.0305289, 0.376263, -0.0123254, 141, 859
19, -0.0742813, -0.576976, -0.0957498, 1.76825, -0.0335859, 0.373289, -0.0143311, 110, 890
20, -0.078722, -0.570414, -0.102145, 1.76524, -0.0352203, 0.369162, -0.0149236, 187, 813
21, -0.0827675, -0.560902, -0.109133, 1.7609, -0.0359747, 0.363141, -0.0147537, 142, 858
