time[s], x, y, z, R, P, Y
0, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
1, 0.0125139, -0.318909, 1.69354, -3.11646, -0.00390113, 1.5715, 
2, 0.00703696, -0.319102, 1.69334, -3.12746, -0.0021744, 1.57096, 
3, 0.00186944, -0.319046, 1.69339, -3.13784, -0.000562678, 1.5711, 
4, -0.0036001, -0.318916, 1.69345, 3.13436, 0.00114641, 1.57122, 
5, -0.00876448, -0.318728, 1.69349, 3.12398, 0.00276298, 1.57133, 
6, -0.0139262, -0.318477, 1.69352, 3.11361, 0.00438181, 1.57142, 
7, -0.0193751, -0.317956, 1.69381, 3.10264, 0.00608287, 1.5722, 
8, -0.0245285, -0.317573, 1.69383, 3.09227, 0.00770883, 1.57226, 
9, -0.029677, -0.317127, 1.69383, 3.0819, 0.00933684, 1.5723, 
10, -0.0348198, -0.316617, 1.69383, 3.07153, 0.0109668, 1.57234, 
11, -0.0402572, -0.316006, 1.69381, 3.06056, 0.0126949, 1.57236, 
12, -0.0453683, -0.315182, 1.69406, 3.05021, 0.014318, 1.57306, 
13, -0.0504886, -0.314478, 1.69403, 3.03984, 0.0159563, 1.57304, 
14, -0.0555804, -0.313528, 1.69426, 3.0295, 0.0175874, 1.57371, 
15, -0.0606821, -0.312697, 1.69421, 3.01914, 0.0192318, 1.57367, 
16, -0.0654752, -0.311859, 1.69416, 3.00939, 0.0207807, 1.57362, 
17, -0.0705334, -0.310724, 1.69436, 2.99905, 0.0224218, 1.57425, 
18, -0.0755784, -0.309526, 1.69456, 2.98871, 0.0240679, 1.57486, 
19, -0.0803386, -0.308514, 1.69448, 2.97896, 0.0256258, 1.57477, 
20, -0.0853564, -0.307196, 1.69466, 2.96863, 0.0272789, 1.57535, 
21, -0.0900644, -0.305889, 1.69484, 2.95891, 0.0288388, 1.57593, 
22, -0.0950804, -0.304631, 1.69473, 2.94856, 0.0305034, 1.57579, 
23, -0.0997589, -0.303211, 1.69489, 2.93884, 0.0320695, 1.57634, 
24, -0.104422, -0.301737, 1.69504, 2.92912, 0.03364, 1.57688, 
25, -0.109069, -0.300208, 1.69518, 2.91941, 0.0352147, 1.5774, 
26, -0.113699, -0.298625, 1.69531, 2.9097, 0.0367935, 1.57791, 
27, -0.118346, -0.297169, 1.69517, 2.89997, 0.0383743, 1.57771, 
28, -0.122942, -0.295479, 1.69529, 2.89026, 0.0399587, 1.57819, 
29, -0.127519, -0.293735, 1.6954, 2.88055, 0.0415471, 1.57867, 
30, -0.131792, -0.292043, 1.69551, 2.87146, 0.0430399, 1.57913, 
31, -0.136332, -0.290196, 1.6956, 2.86176, 0.044636, 1.57958, 
32, -0.140568, -0.288408, 1.6957, 2.85267, 0.046136, 1.58002, 
