time[s], x, y, z, R, P, Y
0, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
1, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
2, 0.00686401, -0.317761, 1.69358, -3.12742, -0.000262733, 1.57151, 
3, 0.00189255, -0.317624, 1.69357, -3.13812, -0.00147015, 1.57143, 
4, -0.00323327, -0.318902, 1.69356, 3.13459, -0.00117123, 1.57151, 
5, -0.00867723, -0.320203, 1.69356, 3.1235, -0.000848334, 1.5716, 
6, -0.0138315, -0.321369, 1.69355, 3.11302, -0.000548874, 1.57169, 
7, -0.0192998, -0.323254, 1.69342, 3.10206, -0.000130033, 1.57157, 
8, -0.0245707, -0.324184, 1.69359, 3.09214, 0.00323191, 1.57216, 
9, -0.0300759, -0.325953, 1.69344, 3.08118, 0.00365352, 1.57202, 
10, -0.0351993, -0.327588, 1.69338, 3.07035, 0.00114114, 1.57207, 
11, -0.0408217, -0.329077, 1.69341, 3.05993, 0.00463204, 1.57247, 
12, -0.0459815, -0.330599, 1.69335, 3.0491, 0.00212075, 1.57252, 
13, -0.0518874, -0.333386, 1.69335, 3.03884, 0.00718394, 1.57311, 
14, -0.0569889, -0.334767, 1.6931, 3.02754, 0.00178306, 1.57266, 
15, -0.0626932, -0.336624, 1.69326, 3.01724, 0.00535344, 1.57358, 
16, -0.0685772, -0.339202, 1.69307, 3.00647, 0.00750798, 1.57369, 
17, -0.0740723, -0.34161, 1.69295, 2.99584, 0.00667955, 1.57397, 
18, -0.0800327, -0.344643, 1.69288, 2.98517, 0.00887663, 1.57459, 
19, -0.085301, -0.346109, 1.69267, 2.97456, 0.00661847, 1.57448, 
20, -0.0910305, -0.348189, 1.6925, 2.9639, 0.00737057, 1.57474, 
21, -0.097102, -0.351591, 1.69227, 2.9533, 0.00964838, 1.57524, 
22, -0.10275, -0.352623, 1.69222, 2.94263, 0.0104806, 1.57567, 
23, -0.108905, -0.356409, 1.69211, 2.9321, 0.0127985, 1.57668, 
24, -0.114607, -0.35783, 1.6919, 2.92154, 0.0137125, 1.57693, 
25, -0.120709, -0.361332, 1.6916, 2.91057, 0.0130867, 1.57745, 
26, -0.126842, -0.364761, 1.69128, 2.89958, 0.0124529, 1.57801, 
27, -0.132923, -0.367006, 1.69119, 2.88957, 0.0179413, 1.57909, 
28, -0.138494, -0.369118, 1.69085, 2.87883, 0.0144276, 1.57926, 
29, -0.144905, -0.372708, 1.69058, 2.86784, 0.0153638, 1.58033, 
30, -0.151292, -0.375876, 1.69023, 2.85739, 0.0194317, 1.58124, 
31, -0.157784, -0.379763, 1.68978, 2.84646, 0.0204357, 1.58216, 
32, -0.163368, -0.381241, 1.68959, 2.83626, 0.0199651, 1.58287, 
33, -0.16969, -0.384299, 1.68918, 2.82551, 0.0211043, 1.58378, 
34, -0.173357, -0.386311, 1.68886, 2.81814, 0.0144607, 1.58401, 
35, -0.171189, -0.386227, 1.68881, 2.81703, -0.016502, 1.58272, 
36, -0.16988, -0.387822, 1.68848, 2.81566, -0.0431166, 1.58161, 
37, -0.168267, -0.388754, 1.68816, 2.81396, -0.0742121, 1.58025, 
38, -0.166681, -0.390035, 1.68769, 2.81244, -0.105312, 1.57872, 
39, -0.164223, -0.388386, 1.68752, 2.81154, -0.136049, 1.57698, 
40, -0.163144, -0.390355, 1.68701, 2.80992, -0.164183, 1.57581, 
41, -0.162166, -0.392956, 1.68642, 2.80796, -0.195469, 1.57472, 
42, -0.16044, -0.393345, 1.68613, 2.80703, -0.223477, 1.5737, 
43, -0.158855, -0.394349, 1.68551, 2.8058, -0.254565, 1.57208, 
44, -0.156863, -0.394053, 1.68493, 2.80465, -0.286981, 1.57017, 
45, -0.155791, -0.395714, 1.6843, 2.80332, -0.315108, 1.5689, 
46, -0.154257, -0.396393, 1.68384, 2.80218, -0.344631, 1.56779, 
47, -0.152953, -0.397446, 1.68321, 2.80139, -0.3712, 1.56643, 
48, -0.150884, -0.396793, 1.68252, 2.80051, -0.403603, 1.56437, 
49, -0.149703, -0.398455, 1.68179, 2.79947, -0.43328, 1.56304, 
50, -0.147667, -0.39781, 1.68104, 2.79869, -0.465678, 1.56092, 
51, -0.147153, -0.400387, 1.6802, 2.7971, -0.495489, 1.55964, 
52, -0.145274, -0.400138, 1.67949, 2.79671, -0.524971, 1.55784, 
53, -0.143625, -0.400429, 1.67846, 2.79612, -0.557527, 1.55539, 
54, -0.142978, -0.402938, 1.67755, 2.79488, -0.588891, 1.55396, 
55, -0.140797, -0.401403, 1.67695, 2.79492, -0.615247, 1.55209, 
56, -0.140018, -0.403445, 1.67589, 2.79387, -0.648137, 1.55012, 
57, -0.138619, -0.403988, 1.675, 2.79333, -0.67928, 1.54814, 
58, -0.137477, -0.404788, 1.67397, 2.79324, -0.707473, 1.54574, 
59, -0.135252, -0.403371, 1.67309, 2.79335, -0.738395, 1.5432, 
60, -0.133713, -0.403419, 1.67202, 2.79317, -0.771044, 1.54046, 
61, -0.132889, -0.404924, 1.67077, 2.79277, -0.805431, 1.53749, 
62, -0.131461, -0.405256, 1.66973, 2.79321, -0.835146, 1.53479, 
63, -0.129384, -0.403719, 1.66876, 2.79398, -0.863135, 1.53171, 
64, -0.128125, -0.404162, 1.66759, 2.79435, -0.895914, 1.52839, 
65, -0.127298, -0.405546, 1.6665, 2.79475, -0.927337, 1.5254, 
66, -0.125894, -0.405519, 1.66503, 2.79644, -0.960066, 1.52044, 
