time[s], Q0, Q1, Q2, Q3, Q4, Q5, Q6, Time for Inverse kinematics[s], Time for move[ms]
0,0,-0.65,0,1.8,0,0.42,0,0,0
1,0.0152643,-0.65,0.017994,1.8,0.00559033,0.42,0.000837818,90,910
2,0.0135032,-0.64984,0.0159171,1.80031,0.00495362,0.420197,0.000750657,770,230
3,0.0120387,-0.649886,0.0141923,1.80032,0.00441725,0.420212,0.000670973,96,904
4,0.0102816,-0.649943,0.0121228,1.80032,0.00377369,0.420231,0.000575428,78,922
5,0.00852442,-0.65,0.0100532,1.80033,0.00313014,0.42025,0.000479914,82,918
6,0.00676728,-0.650058,0.00798374,1.80033,0.0024866,0.42027,0.000384433,79,921
7,0.00501014,-0.650116,0.00591428,1.80034,0.00184308,0.42029,0.000288983,80,920
8,0.00354573,-0.650164,0.00418956,1.80034,0.00130675,0.420306,0.000209424,79,921
9,0.00178862,-0.650223,0.00212016,1.80034,0.000663245,0.420327,0.000114033,78,922
10,3.15071E-05,-0.650283,5.07874E-05,1.80034,1.97533E-05,0.420348,1.86745E-05,78,922
11,-0.00172559,-0.650343,-0.00201855,1.80035,-0.000623726,0.42037,-7.66522E-05,79,921
12,-0.00348267,-0.650403,-0.00408784,1.80035,-0.00126719,0.420392,-0.000171947,104,896
13,-0.00494703,-0.650453,-0.00581243,1.80035,-0.00180348,0.42041,-0.000251378,110,890
14,-0.00670408,-0.650514,-0.00788165,1.80035,-0.00244692,0.420433,-0.000346613,770,230
15,-0.00846112,-0.650576,-0.00995083,1.80034,-0.00309035,0.420456,-0.000441815,97,903
16,-0.0102181,-0.650638,-0.01202,1.80034,-0.00373377,0.42048,-0.000536985,790,210
17,-0.0119751,-0.6507,-0.0140891,1.80034,-0.00437717,0.420504,-0.000632122,765,235
18,-0.0134394,-0.650752,-0.0158135,1.80033,-0.00491341,0.420524,-0.000711424,80,920
19,-0.0151964,-0.650815,-0.0178825,1.80033,-0.00555679,0.420549,-0.000806501,136,864
