time[s], Q0, Q1, Q2, Q3, Q4, Q5, Q6, Time for Inverse kinematics[s], Time for move[ms]
0, 0, -0.65, 0, 1.8, 0, 0.42, 0, 0, 0
1, 0, -0.65, 0, 1.8, 0, 0.42, 0, 1000, 0
2, 0.013611, -0.657033, 0.0157909, 1.80278, 0.00612777, 0.424425, 0.00214177, 143, 857
3, 0.0118612, -0.65618, 0.0137726, 1.80246, 0.00526665, 0.423883, 0.00177789, 136, 864
4, 0.0101127, -0.655325, 0.0117535, 1.80213, 0.00440738, 0.423339, 0.00141498, 104, 896
5, 0.00854156, -0.656114, 0.00968819, 1.80237, 0.00426938, 0.423771, 0.00184274, 954, 46
6, 0.00679494, -0.655254, 0.00766714, 1.80204, 0.00341133, 0.423226, 0.00148111, 116, 884
7, 0.00504511, -0.6576, 0.00643242, 1.80296, 0.00197278, 0.424773, 0.000610099, 120, 880
8, 0.00324965, -0.653609, 0.00444718, 1.80166, 0.000396461, 0.422413, -0.000634179, 147, 853
9, 0.00150643, -0.652742, 0.00242388, 1.80132, -0.000457232, 0.421859, -0.000993852, 109, 891
10, 0.000235988, -0.650462, -9.89013e-05, 1.80034, 0.000145202, 0.420279, 1.9269e-05, 108, 892
11, -0.00150359, -0.649592, -0.00212236, 1.8, -0.000701534, 0.419726, -0.000336962, 108, 892
12, -0.0032418, -0.648719, -0.00414653, 1.79965, -0.00154634, 0.419171, -0.000692167, 115, 885
13, -0.00516396, -0.649433, -0.00533325, 1.80001, -0.00369845, 0.419752, -0.00235308, 106, 894
14, -0.00659177, -0.645497, -0.00783404, 1.79845, -0.00380171, 0.41719, -0.0021121, 107, 893
15, -0.0082905, -0.647752, -0.0098678, 1.7991, -0.00393909, 0.418429, -0.00160889, 132, 868
16, -0.00987958, -0.645454, -0.0119364, 1.79833, -0.00468656, 0.417072, -0.0019547, 105, 895
17, -0.0116112, -0.644571, -0.013964, 1.79797, -0.00552198, 0.416509, -0.00230483, 143, 857
18, -0.0132153, -0.642215, -0.0156288, 1.79711, -0.00693222, 0.415087, -0.0033725, 107, 893
19, -0.0149174, -0.644465, -0.0176503, 1.79775, -0.00706728, 0.416319, -0.00287456, 118, 882
20, -0.0164976, -0.642159, -0.0197278, 1.79697, -0.0078051, 0.414957, -0.00321208, 170, 830
21, -0.0178793, -0.641386, -0.0222344, 1.7964, -0.00718929, 0.414216, -0.0021026, 140, 860
22, -0.0197797, -0.642116, -0.0238239, 1.79683, -0.00866741, 0.414842, -0.00304486, 105, 895
23, -0.0213498, -0.63651, -0.0259338, 1.7946, -0.0101058, 0.411281, -0.0042508, 117, 883
24, -0.0229049, -0.637376, -0.0279907, 1.79483, -0.0101371, 0.411738, -0.00374131, 115, 885
25, -0.0244724, -0.635062, -0.0300768, 1.79403, -0.0108571, 0.410374, -0.00406594, 106, 894
26, -0.0263534, -0.632702, -0.0317092, 1.79307, -0.0129529, 0.408922, -0.00578588, 109, 891
27, -0.0279074, -0.633566, -0.0337601, 1.79329, -0.0129788, 0.409373, -0.0052768, 106, 894
28, -0.0294624, -0.634429, -0.0358111, 1.79352, -0.0130063, 0.409826, -0.00476847, 106, 894
29, -0.0313425, -0.62886, -0.03749, 1.7915, -0.0157952, 0.406541, -0.00732383, 106, 894
30, -0.0328954, -0.629721, -0.0395349, 1.79172, -0.0158157, 0.406986, -0.00681512, 164, 836
31, -0.0344492, -0.630582, -0.0415799, 1.79194, -0.0158377, 0.407434, -0.00630714, 107, 893
32, -0.0363165, -0.628212, -0.0432281, 1.79095, -0.0179202, 0.405977, -0.00801465, 227, 773
33, -0.0375257, -0.626071, -0.0457897, 1.78995, -0.0171637, 0.404469, -0.00685395, 106, 894
34, -0.0394136, -0.627018, -0.0473745, 1.79043, -0.0185454, 0.405215, -0.00771123, 105, 895
35, -0.0409269, -0.621619, -0.0495518, 1.7882, -0.0198515, 0.401792, -0.00876558, 106, 894
36, -0.0424681, -0.619586, -0.0516532, 1.78746, -0.0204548, 0.400598, -0.00896881, 127, 873
37, -0.0438125, -0.615845, -0.0542234, 1.78586, -0.0203764, 0.398166, -0.00854153, 108, 892
38, -0.0458644, -0.6184, -0.055344, 1.78678, -0.0224252, 0.399775, -0.0100462, 109, 891
39, -0.0472027, -0.614656, -0.0579216, 1.78518, -0.0223408, 0.397339, -0.00961243, 117, 883
40, -0.0487348, -0.61262, -0.0600271, 1.78442, -0.0229285, 0.396145, -0.00980546, 135, 865
41, -0.0502391, -0.610466, -0.0621376, 1.78324, -0.0235235, 0.394577, -0.0100248, 106, 894
42, -0.0517664, -0.608429, -0.0642446, 1.78248, -0.0241017, 0.393383, -0.010212, 108, 892
43, -0.0534661, -0.608015, -0.0658816, 1.78216, -0.0253699, 0.39307, -0.0110599, 112, 888
44, -0.0549898, -0.605977, -0.0679917, 1.78139, -0.0259423, 0.391875, -0.0112429, 147, 853
45, -0.0564735, -0.60402, -0.0704812, 1.78033, -0.0258457, 0.390448, -0.0107206, 107, 893
46, -0.0579921, -0.60198, -0.0725925, 1.77956, -0.0264088, 0.389256, -0.0108977, 144, 856
47, -0.0596866, -0.601567, -0.0742288, 1.77924, -0.0276674, 0.388945, -0.0117421, 105, 895
