time[s], x, y, z, R, P, Y,
0,2.29038E-17,-0.319048,1.69359,-3.14159,-4.87609E-20,1.57159, 
1,0.0158712,-0.318762,1.69353,-3.10972,-0.00494871,1.5715, 
2,0.0140416,-0.318977,1.69328,-3.1134,-0.0043573,1.57085, 
3,0.0125198,-0.318998,1.6933,-3.11645,-0.00388376,1.57089, 
4,0.0106936,-0.319016,1.69332,-3.12012,-0.0033153,1.57094, 
5,0.00886749,-0.319026,1.69334,-3.12379,-0.00274657,1.57098, 
6,0.00704132,-0.319027,1.69336,-3.12745,-0.00217758,1.57103, 
7,0.00521517,-0.319021,1.69338,-3.13112,-0.00160832,1.57107, 
8,0.00369326,-0.31901,1.6934,-3.13418,-0.00113373,1.57111, 
9,0.00186724,-0.318989,1.69341,-3.13785,-0.000564014,1.57114, 
10,0.000041324,-0.318959,1.69343,-3.14151,5.95784E-06,1.57118, 
11,-0.00178444,-0.318922,1.69344,3.13801,0.000576179,1.57122, 
12,-0.00361003,-0.318877,1.69346,3.13434,0.00114665,1.57125, 
13,-0.00513135,-0.318834,1.69347,3.13128,0.00162223,1.57128, 
14,-0.00695652,-0.318774,1.69348,3.12762,0.00219314,1.57131, 
15,-0.00878142,-0.318707,1.69349,3.12395,0.00276429,1.57134, 
16,-0.010606,-0.318631,1.6935,3.12028,0.00333567,1.57137, 
17,-0.0124303,-0.318547,1.69351,3.11662,0.00390729,1.57139, 
18,-0.0139504,-0.318472,1.69351,3.11356,0.00438381,1.57141, 
19,-0.0157739,-0.318374,1.69352,3.1099,0.00495584,1.57143, 
20,-0.0175863,-0.318084,1.6938,3.10624,0.00551131,1.57215, 
21,-0.0194088,-0.31797,1.6938,3.10258,0.00608474,1.57217, 
22,-0.0209273,-0.317869,1.6938,3.09952,0.00656276,1.57218, 
23,-0.0227489,-0.31774,1.69381,3.09586,0.00713658,1.5722, 
24,-0.0245699,-0.317604,1.69381,3.09219,0.00771062,1.57221, 
25,-0.0263903,-0.317459,1.69381,3.08853,0.00828487,1.57222, 
26,-0.027907,-0.317332,1.69381,3.08547,0.00876355,1.57223, 
27,-0.0297262,-0.317173,1.6938,3.08181,0.00933818,1.57224, 
28,-0.0315447,-0.317006,1.6938,3.07814,0.009913,1.57225, 
29,-0.0333625,-0.31683,1.6938,3.07448,0.010488,1.57225, 
30,-0.034877,-0.316679,1.69379,3.07142,0.0109673,1.57225, 
31,-0.0366934,-0.316489,1.69379,3.06776,0.0115427,1.57225, 
32,-0.038509,-0.316291,1.69378,3.0641,0.0121183,1.57225, 
33,-0.040006,-0.315938,1.69404,3.06106,0.0125852,1.57295, 
34,-0.0418199,-0.315726,1.69403,3.05739,0.0131621,1.57295, 
35,-0.0436329,-0.315505,1.69402,3.05373,0.0137391,1.57294, 
36,-0.0451431,-0.315316,1.69401,3.05067,0.0142201,1.57293, 
37,-0.0469544,-0.315081,1.694,3.04701,0.0147975,1.57292, 
38,-0.0487646,-0.314839,1.69399,3.04335,0.015375,1.57291, 
39,-0.0502725,-0.314631,1.69398,3.0403,0.0158564,1.5729, 
40,-0.0520808,-0.314374,1.69396,3.03663,0.0164343,1.57289, 
41,-0.0538694,-0.313926,1.69422,3.03299,0.017002,1.57357, 
42,-0.0553746,-0.313699,1.6942,3.02993,0.0174846,1.57356, 
43,-0.0571796,-0.31342,1.69418,3.02627,0.0180638,1.57354, 
44,-0.0589834,-0.313132,1.69416,3.02261,0.0186433,1.57352, 
45,-0.0604858,-0.312887,1.69415,3.01956,0.0191262,1.5735, 
46,-0.0622874,-0.312585,1.69412,3.01589,0.0197059,1.57347, 
47,-0.0640668,-0.312093,1.69437,3.01225,0.0202773,1.57415, 
48,-0.0655661,-0.31183,1.69435,3.0092,0.0207614,1.57412, 
49,-0.0673638,-0.311505,1.69433,3.00554,0.0213424,1.57409, 
50,-0.068861,-0.31123,1.69431,3.00249,0.0218267,1.57407, 
51,-0.0706562,-0.310891,1.69428,2.99882,0.022408,1.57403, 
52,-0.0724499,-0.310545,1.69425,2.99516,0.0229895,1.574, 
53,-0.0739208,-0.310068,1.6945,2.99213,0.0234673,1.57467, 
54,-0.0757117,-0.309708,1.69447,2.98847,0.02405,1.57463, 
55,-0.0772032,-0.309402,1.69444,2.98542,0.0245355,1.5746, 
56,-0.0789912,-0.309026,1.69441,2.98176,0.0251184,1.57455, 
57,-0.0804559,-0.308526,1.69466,2.97873,0.0255986,1.57522, 
58,-0.0822409,-0.308137,1.69462,2.97507,0.0261826,1.57517, 
59,-0.0837274,-0.307807,1.69459,2.97202,0.0266694,1.57513, 
60,-0.0855094,-0.307403,1.69456,2.96836,0.0272536,1.57508, 
61,-0.0869933,-0.307061,1.69452,2.96531,0.0277405,1.57504, 
62,-0.0887458,-0.306462,1.69476,2.96167,0.028321,1.57569, 
63,-0.090227,-0.306108,1.69473,2.95862,0.0288088,1.57565, 
64,-0.0920024,-0.305676,1.69468,2.95496,0.0293944,1.57559, 
65,-0.0934808,-0.30531,1.69465,2.95191,0.0298824,1.57554, 
