time[s], x, y, z, R, P, Y
0, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
1, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
2, 0.0140075, -0.315437, 1.69354, -3.11295, -0.00191992, 1.57135, 
3, 0.0122162, -0.315905, 1.69354, -3.11665, -0.00182524, 1.57137, 
4, 0.0104229, -0.316366, 1.69354, -3.12035, -0.00173051, 1.5714, 
5, 0.00868813, -0.316008, 1.6936, -3.12361, -0.000176981, 1.57154, 
6, 0.00689225, -0.316456, 1.6936, -3.12731, -8.16477e-05, 1.57156, 
7, 0.00551831, -0.315347, 1.6936, -3.13064, -0.00152457, 1.57145, 
8, 0.00369455, -0.317342, 1.69343, -3.13465, -0.00297675, 1.57113, 
9, 0.00189333, -0.317771, 1.69343, -3.13835, -0.00288311, 1.57116, 
10, 2.44604e-05, -0.318857, 1.6935, -3.14138, 0.000211687, 1.57144, 
11, -0.00178036, -0.319274, 1.6935, 3.13811, 0.000306321, 1.57146, 
12, -0.00358683, -0.319683, 1.69349, 3.13442, 0.000400985, 1.57148, 
13, -0.00502308, -0.31934, 1.69343, 3.13067, -0.00250458, 1.57125, 
14, -0.00698656, -0.321211, 1.69343, 3.1272, -0.00087387, 1.57143, 
15, -0.00873856, -0.320041, 1.6936, 3.12383, 0.000747579, 1.57179, 
16, -0.0105317, -0.32114, 1.69349, 3.12027, 0.000942391, 1.5716, 
17, -0.0123458, -0.321517, 1.69349, 3.11658, 0.00103733, 1.57162, 
18, -0.0139473, -0.32262, 1.69342, 3.11306, -0.000353003, 1.57153, 
19, -0.015687, -0.321424, 1.69359, 3.1097, 0.00126844, 1.5719, 
20, -0.0174936, -0.322497, 1.69348, 3.10614, 0.00146313, 1.57171, 
21, -0.019406, -0.322742, 1.69364, 3.10299, 0.00462249, 1.57221, 
22, -0.0210366, -0.32234, 1.69353, 3.09923, 0.00329376, 1.57187, 
23, -0.0229478, -0.324952, 1.69349, 3.09533, 0.00190486, 1.57202, 
24, -0.0246679, -0.32442, 1.69355, 3.09212, 0.00362996, 1.57217, 
25, -0.0264912, -0.32546, 1.69344, 3.08856, 0.00382427, 1.57198, 
26, -0.0282251, -0.326486, 1.69341, 3.08449, 0.00108397, 1.572, 
27, -0.0299412, -0.325933, 1.69348, 3.08128, 0.00280825, 1.57215, 
28, -0.0316557, -0.325375, 1.69354, 3.07807, 0.00453321, 1.57229, 
29, -0.0335196, -0.32797, 1.69333, 3.07365, 0.000225163, 1.57198, 
30, -0.0352315, -0.327397, 1.6934, 3.07045, 0.00194862, 1.57213, 
31, -0.0369417, -0.326819, 1.69346, 3.06724, 0.00367277, 1.57228, 
32, -0.0386952, -0.327805, 1.69343, 3.06318, 0.000932797, 1.57231, 
33, -0.0406252, -0.32865, 1.69349, 3.06016, 0.00420499, 1.57262, 
34, -0.04224, -0.328057, 1.69338, 3.05646, 0.00304595, 1.57229, 
35, -0.0442333, -0.33047, 1.69335, 3.05256, 0.00182638, 1.57248, 
36, -0.0460774, -0.331287, 1.69324, 3.04904, 0.00219474, 1.57233, 
37, -0.0481483, -0.332877, 1.69322, 3.04555, 0.00400231, 1.57254, 
38, -0.0495365, -0.331452, 1.69328, 3.04183, 0.00138649, 1.57252, 
39, -0.0516165, -0.333026, 1.69326, 3.03834, 0.00319446, 1.57274, 
40, -0.0534706, -0.333814, 1.69315, 3.03482, 0.00356087, 1.57258, 
41, -0.0553265, -0.334579, 1.69329, 3.0313, 0.00388617, 1.57311, 
42, -0.0571857, -0.335353, 1.69317, 3.02777, 0.00425207, 1.57295, 
43, -0.0588098, -0.335313, 1.69322, 3.02422, 0.00314439, 1.5731, 
44, -0.0606737, -0.336072, 1.6931, 3.0207, 0.0035094, 1.57295, 
45, -0.0627174, -0.336703, 1.6932, 3.01714, 0.00541341, 1.57339, 
46, -0.0645856, -0.337448, 1.69308, 3.01362, 0.0057777, 1.57323, 
47, -0.066211, -0.33738, 1.69313, 3.01008, 0.00466804, 1.57338, 
48, -0.0683211, -0.340338, 1.69295, 3.00626, 0.00352972, 1.57342, 
49, -0.0704003, -0.340138, 1.69307, 3.00313, 0.00843115, 1.57386, 
50, -0.0717764, -0.339247, 1.69302, 2.99958, 0.00589433, 1.57361, 
51, -0.0736816, -0.340564, 1.69305, 2.99617, 0.00630799, 1.57395, 
52, -0.0759025, -0.341911, 1.6928, 2.99214, 0.00678138, 1.57361, 
53, -0.0778155, -0.343211, 1.69282, 2.98872, 0.00719107, 1.57396, 
54, -0.0794711, -0.343695, 1.69275, 2.98531, 0.00616194, 1.57391, 
55, -0.0817027, -0.344999, 1.69276, 2.98128, 0.00659138, 1.57426, 
56, -0.0833623, -0.345468, 1.69269, 2.97787, 0.00556006, 1.57422, 
57, -0.0854553, -0.346597, 1.69266, 2.97442, 0.00754818, 1.57448, 
58, -0.0870291, -0.346163, 1.69273, 2.97097, 0.00659032, 1.57462, 
59, -0.0893109, -0.347221, 1.69265, 2.96747, 0.0101303, 1.57479, 
60, -0.0911536, -0.348394, 1.69249, 2.96358, 0.00762115, 1.57466, 
61, -0.0928499, -0.348595, 1.6926, 2.9607, 0.0096481, 1.5751, 
62, -0.0951407, -0.350427, 1.69248, 2.95677, 0.0101604, 1.57528, 
63, -0.0967111, -0.349956, 1.69254, 2.95333, 0.00919658, 1.5754, 
64, -0.0985995, -0.351658, 1.69227, 2.94956, 0.00676213, 1.5751, 
65, -0.100924, -0.353209, 1.69233, 2.94615, 0.0103487, 1.57578, 
