time[s], Euc. Dist, dU1, dV1, dU2, dV2, dU3, dV3
0, 0, 0, 0, 0, 0, 0, 0
0.032, 0, 0, 0, 0, 0, 0, 0
0.064, 174, 58, 0, 58, 0, 58, 0
0.096, 289, 96, -7, 97, -6, 96, -5
0.128, 405, 133, -15, 137, -17, 134, -14
0.16, 547, 180, -20, 184, -21, 181, -16
0.192, 625, 204, -22, 213, -24, 206, -12
0.224, 741, 240, -22, 254, -25, 245, -9
0.256, 880, 285, -24, 301, -28, 292, -10
0.288, 978, 316, -25, 332, -31, 329, -9
0.32, 1033, 331, -25, 355, -32, 346, -3
0.352, 937, 301, -40, 316, -49, 314, -30
0.384, 924, 299, -30, 305, -38, 316, -35
0.416, 892, 293, -26, 285, -35, 308, -44
0.448, 862, 286, -21, 264, -32, 307, -54
0.48, 838, 279, -16, 248, -30, 304, -62
0.512, 805, 272, -9, 227, -29, 298, -68
0.544, 753, 257, -9, 198, -34, 286, -80
0.576, 696, 239, 11, 171, -20, 276, -72
0.608, 720, 249, 26, 172, -11, 291, -68
0.64, 723, 250, 35, 166, -10, 298, -67
0.672, 625, 219, 68, 131, 27, 262, -32
0.704, 555, 182, 108, 98, 71, 223, 10
0.736, 539, 147, 150, 66, 119, 185, 56
0.768, 580, 118, 194, 36, 169, 149, 104
0.8, 656, 84, 238, 4, 217, 111, 151
0.832, 731, 44, 271, -40, 255, 68, 188
0.864, 754, -3, 277, -77, 264, 16, 202
0.896, 812, -48, 287, -114, 277, -33, 221
0.928, 998, -80, 341, -151, 333, -68, 275
0.96, 1161, -111, 393, -172, 369, -99, 332
0.992, 1173, -110, 399, -175, 369, -103, 337
1.024, 1169, -107, 397, -170, 369, -101, 338
1.056, 1161, -104, 395, -166, 368, -99, 336
1.088, 1161, -104, 395, -166, 368, -99, 336
1.12, 1153, -104, 391, -159, 369, -96, 335
1.152, 1153, -104, 391, -159, 369, -96, 335
1.184, 1139, -91, 385, -141, 369, -90, 338
1.216, 1122, -83, 379, -128, 368, -84, 336
1.248, 1116, -81, 376, -124, 368, -82, 335
1.28, 1105, -76, 370, -115, 368, -82, 334
1.312, 975, -32, 337, -84, 340, -32, 286
1.344, 823, 16, 293, -37, 293, 24, 234
1.376, 650, 51, 237, -10, 228, 68, 167
1.408, 407, 53, 155, -11, 133, 78, 79
1.44, 360, 88, 117, 19, 87, 121, 35
1.472, 358, 116, 84, 38, 42, 159, -8
1.504, 410, 142, 49, 60, -6, 194, -50
1.536, 509, 170, 8, 78, -55, 226, -94
1.568, 615, 189, -30, 94, -105, 251, -133
1.6, 744, 212, -63, 115, -151, 285, -176
