deltaT[s], maxEuc_dU[pixels], max_dU[pixels], max_dV[pixels], Avg Inv Kinem Time [ms], Avg Img Rec Time [ms]
1, 60, -56, 23, 0, 0
0.95, 60, -56, 23, 0, 0
0.9, 60, -56, 23, 0, 0
0.85, 60, -56, 23, 0, 0
0.8, 60, -56, 23, 0, 0
0.75, 60, -56, 23, 0, 0
0.7, 60, -56, 23, 0, 0
0.65, 60, -56, 23, 0, 0
0.6, 60, -56, 23, 0, 0
0.55, 60, -56, 23, 0, 0
0.5, 60, -56, 23, 0, 0
0.45, 60, -56, 23, 0, 0
0.4, 60, -56, 23, 0, 0
0.35, 60, -56, 23, 0, 0
0.3, 60, -56, 23, 0, 0
0.25, 60, -56, 23, 0, 0
0.2, 60, -56, 23, 0, 0
0.15, 60, -56, 23, 0, 0
0.1, 60, -56, 23, 0, 0
0.05, 60, -56, 23, 0, 0
