deltaT[s], maxEuc_dU[pixels], max_dU[pixels], max_dV[pixels], Avg Inv Kinem Time [ms], Avg Img Rec Time [ms]
1, 41, -41, 0, 0.0239521, 0
0.95, 41, -41, 0, 0, 0
0.9, 41, -41, 0, 0, 0
0.85, 41, -41, 0, 0, 0
0.8, 41, -41, 0, 0, 0
0.75, 41, -41, 0, 0, 0
0.7, 41, -41, 0, 0, 0
0.65, 41, -41, 0, 0, 0
0.6, 41, -41, 0, 0, 0
0.55, 41, -41, 0, 0, 0
0.5, 41, -41, 0, 0.00598802, 0
0.45, 41, -41, 0, 0, 0
0.4, 41, -41, 0, 0, 0
0.35, 41, -41, 0, 0, 0
0.3, 41, -41, 0, 0, 0
0.25, 41, -41, 0, 0, 0
0.2, 41, -41, 0, 0, 0
0.15, 41, -41, 0, 0, 0
0.1, 41, -41, 0, 0, 0
0.05, 41, -41, 0, 0, 0
