deltaT[s], maxEuc_dU_[pixels], max_dU_1[pixels], max_dV_1[pixels], max_dU_2[pixels], max_dV_2[pixels], max_dU_3[pixels], max_dV_3[pixels], Avg Inv Kinem Time [ms], Avg Img Rec Time [ms]
1,123,-41,0,-41,0,-41,0,0,0
0.95,123,-41,0,-41,0,-41,0,0,0
0.9,123,-41,0,-41,0,-41,0,0,0
0.85,123,-41,0,-41,0,-41,0,0,0
0.8,123,-41,0,-41,0,-41,0,0,0
0.75,123,-41,0,-41,0,-41,0,0,0
0.7,123,-41,0,-41,0,-41,0,0,0
0.65,123,-41,0,-41,0,-41,0,0,0
0.6,123,-41,0,-41,0,-41,0,0,0
0.55,123,-41,0,-41,0,-41,0,0,0
0.5,123,-41,0,-41,0,-41,0,0,0
0.45,123,-41,0,-41,0,-41,0,0,0
0.4,123,-41,0,-41,0,-41,0,0,0
0.35,123,-41,0,-41,0,-41,0,0,0
0.3,123,-41,0,-41,0,-41,0,0,0
0.25,123,-41,0,-41,0,-41,0,0,0
0.2,123,-41,0,-41,0,-41,0,0,0
0.15,123,-41,0,-41,0,-41,0,0,0
0.1,123,-41,0,-41,0,-41,0,0,0
0.05,123,-41,0,-41,0,-41,0,0,0
