deltaT[s], maxEuc_dU[pixels], max_dU[pixels], max_dV[pixels], Avg Inv Kinem Time [ms], Avg Img Rec Time [ms]
1, 52, -52, 0, 0, 0
0.95, 52, -52, 0, 0, 0
0.9, 52, -52, 0, 0, 0
0.85, 52, -52, 0, 0, 0
0.8, 52, -52, 0, 0, 0
0.75, 52, -52, 0, 0, 0
0.7, 52, -52, 0, 0, 0
0.65, 52, -52, 0, 0, 0
0.6, 52, -52, 0, 0, 0
0.55, 52, -52, 0, 0, 0
0.5, 52, -52, 0, 0.00399202, 0
0.45, 52, -52, 0, 0, 0
0.4, 52, -52, 0, 0, 0
0.35, 52, -52, 0, 0, 0
0.3, 52, -52, 0, 0, 0
0.25, 52, -52, 0, 0, 0
0.2, 52, -52, 0, 0, 0
0.15, 52, -52, 0, 0, 0
0.1, 52, -52, 0, 0, 0
0.05, 52, -52, 0, 0, 0
