deltaT[s], maxEuc_dU_[pixels], max_dU_1[pixels], max_dV_1[pixels], max_dU_2[pixels], max_dV_2[pixels], max_dU_3[pixels], max_dV_3[pixels], Avg Inv Kinem Time [ms], Avg Img Rec Time [ms]
1,156,-52,0,-52,0,-52,0,0,0
0.95,156,-52,0,-52,0,-52,0,0,0
0.9,156,-52,0,-52,0,-52,0,0,0
0.85,156,-52,0,-52,0,-52,0,0.00598802,0
0.8,156,-52,0,-52,0,-52,0,0,0
0.75,156,-52,0,-52,0,-52,0,0,0
0.7,156,-52,0,-52,0,-52,0,0.00399202,0
0.65,156,-52,0,-52,0,-52,0,0,0
0.6,156,-52,0,-52,0,-52,0,0.00199601,0
0.55,156,-52,0,-52,0,-52,0,0,0
0.5,156,-52,0,-52,0,-52,0,0,0
0.45,156,-52,0,-52,0,-52,0,0,0
0.4,156,-52,0,-52,0,-52,0,0,0
0.35,156,-52,0,-52,0,-52,0,0,0
0.3,156,-52,0,-52,0,-52,0,0,0
0.25,156,-52,0,-52,0,-52,0,0,0
0.2,156,-52,0,-52,0,-52,0,0,0
0.15,156,-52,0,-52,0,-52,0,0,0
0.1,156,-52,0,-52,0,-52,0,0.00199601,0
0.05,156,-52,0,-52,0,-52,0,0.00199601,0
