time[s], Q0, Q1, Q2, Q3, Q4, Q5, Q6, Time for Inverse kinematics[s], Time for move[ms]
0, 0, -0.65, 0, 1.8, 0, 0.42, 0, 0, 0
0.3, 0, -0.65, 0, 1.8, 0, 0.42, 0, 155, 145
0.6, -0.229336, -0.598367, 0.324712, 1.75038, -0.0707245, 0.430386, 0.276655, 154, 146
0.9, -0.455531, -0.362119, 0.777101, 1.39098, -0.749309, 0.731979, 1.18143, 156, 144
1.2, -0.535642, -0.278448, 0.937322, 1.2637, -0.98964, 0.625165, 1.50188, 249, 51
1.5, -0.766549, -0.341807, 1.39914, 0.896811, -1.56171, 0.933041, 1.50768, 153, 147
1.8, -1.00374, -0.0940753, 1.39197, 0.861335, -1.71287, 0.616787, 1.51932, 149, 151
2.1, -1.24093, 0.153657, 1.25659, 0.861311, -2.25188, 0.300533, 1.23179, 149, 151
2.4, -1.00374, -0.0940753, 1.37231, 1.23818, -2.96345, 0.616787, 0.968928, 149, 151
2.7, -1.07811, 0.143813, 1.82784, 1.60007, -3.64675, 0.920474, 1.79945, 155, 145
3, -0.845636, -0.0989971, 2.23451, 1.23069, -3.0684, 0.610504, 1.7, 152, 148
3.3, -0.811896, -0.310636, 2.25707, 0.908731, -2.60736, 0.340327, 1.29613, 171, 129
3.6, -1.04752, -0.556727, 1.851, 0.534358, -1.9005, 0.0261677, 0.865208, 150, 150
3.9, -1.28156, -0.801178, 2.3191, 0.162481, -1.19835, 0.338233, 1.8014, 151, 149
4.2, -1.50305, -0.569852, 2.48683, 0.431299, -1.05601, 0.0429229, 1.55027, 159, 141
4.5, -1.73867, -0.695493, 2.82212, 0.071145, -0.758259, -0.271236, 1.65921, 150, 150
4.8, -1.97271, -0.451043, 2.35402, 0.443022, -1.4604, -0.583301, 2.59541, 151, 149
5.1, -2.20048, -0.688931, 2.80955, 0.0811283, -0.777108, -0.279614, 2.62825, 155, 145
5.4, -2.43767, -0.936663, 3.28394, -0.295741, -0.0655374, -0.595868, 2.72692, 149, 151
5.7, -2.24646, -0.697134, 3.74261, 0.0686492, 0.547629, -0.290086, 1.80958, 154, 146
6, -2.01556, -0.938304, 3.28079, -0.298236, -0.145092, -0.597962, 2.73321, 153, 147
6.3, -1.78151, -0.693853, 3.74889, 0.0736408, 0.384579, -0.285897, 1.79701, 151, 149
6.6, -1.5506, -0.935022, 3.28708, -0.293245, -0.308142, -0.593773, 2.72064, 153, 147
6.9, -1.31341, -0.68729, 3.76146, 0.0836241, 0.120183, -0.27752, 1.77188, 149, 151
7.2, -1.08093, -0.9301, 3.2965, -0.285757, -0.577251, -0.58749, 2.70179, 152, 148
7.5, -0.846883, -0.68565, 3.7646, 0.0861199, -0.336994, -0.275425, 1.7656, 151, 149
7.8, -0.612835, -0.9301, 3.2965, 0.1689, -1.03914, -0.58749, 2.70179, 151, 149
8.1, -0.381928, -1.17127, 3.75832, -0.197985, -0.346419, -0.279614, 1.77816, 153, 147
8.4, -0.615976, -0.926819, 3.29022, 0.173892, -1.04856, -0.591679, 2.71436, 151, 149
8.7, -0.383498, -1.16963, 3.75517, -0.195489, -0.351131, -0.281708, 1.78444, 152, 148
9, -0.612835, -0.9301, 3.2965, 0.1689, -1.03914, -0.58749, 2.70179, 154, 146
9.3, -0.383498, -1.16963, 3.75517, -0.195489, -0.351131, -0.281708, 1.78444, 154, 146
9.6, -0.619118, -0.923538, 3.28394, 0.178884, -1.05799, -0.595868, 2.72692, 150, 150
9.9, -0.38664, -1.16635, 3.74889, -0.190498, -0.360556, -0.285897, 1.79701, 152, 148
10.2, -0.625401, -0.916976, 3.27137, 0.188867, -1.07684, -0.604245, 2.75206, 148, 152
10.5, -0.396065, -1.1565, 3.73004, -0.175523, -0.38883, -0.298464, 1.83471, 154, 146
10.8, -0.630113, -0.912054, 3.26194, 0.196354, -1.09098, -0.610528, 2.7709, 151, 149
11.1, -0.397636, -1.15486, 3.7269, -0.173027, -0.393543, -0.300558, 1.84099, 152, 148
11.4, -0.633255, -0.908773, 3.25566, 0.201346, -1.1004, -0.614717, 2.78347, 150, 150
11.7, -0.402348, -1.14994, 3.71748, -0.16554, -0.40768, -0.306841, 1.85984, 153, 147
12, -0.634826, -0.907132, 3.25252, 0.203842, -1.10511, -0.616812, 2.78975, 152, 148
12.3, -0.462038, -1.0876, 3.59809, -0.0706984, -0.586751, -0.386428, 2.0986, 190, 110
