time[s], dQ0/dT, dQ1/dT, dQ2/dT, dQ3/dT, dQ4/dT, dQ5/dT, dQ6/dT
0, 0, 0, 0, 0, 0, 0, 0
0.035, 0, 0, 0, 0, 0, 0, 0
0.07, -0.000478249, -5.6129e-05, -0.000539938, -4.57005e-06, -0.000202336, 1.90864e-05, -5.43865e-05
0.105, -0.00017952, -0.000140167, -0.000359039, -1.29152e-05, -0.000395431, 4.66007e-05, -0.000103117
0.14, -0.00017952, -0.000157164, -0.000359039, 7.18516e-06, -0.000451813, 8.29083e-05, -0.000113413
0.175, -0.00017952, -0.000175535, -0.000359039, 2.71595e-05, -0.000505021, 0.000124291, -0.000121561
0.21, -0.00017952, -0.000187498, -0.000359039, 6.46543e-06, -0.000538559, 0.000141328, -0.000127793
0.245, -0.00017952, -0.000187498, -0.000359039, -6.62858e-06, -0.000538559, 0.000161117, -0.000129267
0.28, -0.00017952, -0.000187498, -0.000359039, -2.36674e-05, -0.000538559, 0.000180495, -0.000130717
0.315, -0.00017952, -0.000187498, -0.000359039, -3.92528e-05, -0.000538559, 0.000198211, -0.000129919
0.35, -0.000224399, -0.000234373, -0.000448799, -5.77081e-05, -0.000627372, 0.000216448, -0.000129381
0.385, -0.000224399, -0.000234373, -0.000448799, -6.60167e-05, -0.000497704, 0.000167584, -0.000103808
0.42, -0.000224399, -0.000181509, -0.000448799, -6.77095e-05, -0.000371587, 0.000116717, -7.88312e-05
0.455, -0.000269279, -0.000135523, -0.000538559, -9.01241e-05, -0.000238427, 4.42006e-05, -5.42907e-05
0.49, -0.000168807, -8.32653e-05, -0.000180175, -9.56634e-05, -8.39206e-05, -2.7685e-05, -2.40303e-05
0.525, -6.80092e-05, -7.21067e-05, -6.23651e-05, -9.84218e-05, -3.97142e-05, -4.83787e-05, -1.52521e-05
0.56, 5.80039e-06, -5.74718e-05, 2.28575e-05, -8.93729e-05, -6.20625e-06, -5.6612e-05, -7.72193e-06
0.595, -1.68732e-05, -6.97848e-05, -1.28768e-06, -0.00010382, -1.75693e-05, -6.12768e-05, -1.11133e-05
0.63, 5.76367e-06, -5.75547e-05, 2.30787e-05, -8.90856e-05, -6.11197e-06, -5.64091e-05, -7.6761e-06
0.665, -1.01886e-05, -6.21076e-05, 4.76991e-06, -9.28499e-05, -1.34555e-05, -5.57085e-05, -9.47471e-06
0.7, 1.50103e-05, -6.09705e-05, 3.57065e-05, -9.55462e-05, -2.5923e-06, -6.21286e-05, -7.40254e-06
0.735, 0.000269279, -4.98215e-05, 0.000430493, -0.000126404, 0.000135286, -0.00013836, 1.98655e-05
0.77, 0.000224399, -4.95072e-05, 0.000448799, -0.00013473, 0.000170623, -0.000155626, 2.74936e-05
0.805, 0.000224399, -5.06932e-05, 0.000448799, -0.000141491, 0.000194441, -0.000166351, 3.29975e-05
0.84, 0.000269279, -5.12593e-05, 0.000538559, -0.000148941, 0.000235915, -0.000182282, 4.27668e-05
0.875, 0.000224399, -5.49851e-05, 0.000448799, -0.000154906, 0.000247666, -0.000185939, 4.61573e-05
0.91, 0.000224399, -6.11422e-05, 0.000448799, -0.000166005, 0.000287468, -0.000200109, 5.60172e-05
0.945, 0.000224399, -6.81958e-05, 0.000448799, -0.000174782, 0.000319261, -0.00020799, 6.46554e-05
0.98, 0.000224399, -7.69194e-05, 0.000448799, -0.000182478, 0.000357134, -0.000214409, 7.52742e-05
1.015, 0.000224399, -8.06084e-05, 0.000448799, -0.000180498, 0.000387813, -0.00020996, 8.54659e-05
1.05, 0.000224399, -9.45094e-05, 0.000448799, -0.000188866, 0.000420577, -0.000209383, 9.57692e-05
1.085, 0.000224399, 9.04116e-06, 0.000448799, -5.02242e-05, 0.000306506, -9.60925e-05, 7.89752e-05
1.12, 0.000224399, 2.7788e-05, 0.000448799, -1.0688e-05, 0.000178096, -4.44964e-05, 4.77177e-05
1.155, 0.000136882, 1.98448e-05, 0.000184864, 6.81214e-06, 6.05065e-05, -9.04042e-06, 1.68642e-05
1.19, -6.66117e-06, -7.51055e-06, -8.54513e-06, -9.192e-06, -3.77138e-06, -4.88585e-06, -1.58853e-06
1.225, 6.66701e-06, 7.50159e-06, 8.55477e-06, 9.19987e-06, 3.77689e-06, 4.89506e-06, 1.59336e-06
1.26, -6.66117e-06, -7.51055e-06, -8.54514e-06, -9.192e-06, -3.77138e-06, -4.88586e-06, -1.58853e-06
1.295, 6.66702e-06, 7.50158e-06, 8.55477e-06, 9.19987e-06, 3.77689e-06, 4.89507e-06, 1.59336e-06
1.33, -6.66118e-06, -7.51054e-06, -8.54514e-06, -9.192e-06, -3.77139e-06, -4.88586e-06, -1.58853e-06
1.365, 6.66702e-06, 7.50158e-06, 8.55478e-06, 9.19987e-06, 3.77689e-06, 4.89507e-06, 1.59336e-06
1.4, -6.66118e-06, -7.51054e-06, -8.54515e-06, -9.192e-06, -3.77139e-06, -4.88586e-06, -1.58853e-06
