time[s], dQ0/dT, dQ1/dT, dQ2/dT, dQ3/dT, dQ4/dT, dQ5/dT, dQ6/dT
0, 0, 0, 0, 0, 0, 0, 0
0.032, 0, 0, 0, 0, 0, 0, 0
0.064, -1.5708, 1.64061, -3.14159, -1.18775, -4.71239, -2.0944, -2.75059
0.096, -1.5708, 1.64061, -3.14159, -1.7246, -4.71239, -2.0944, -3.09404
0.128, 1.5708, -1.64061, -3.14159, 2.49582, -2.5729, -2.0944, -6.28319
0.16, 0.138488, -0.0456419, -3.14159, 2.49582, -4.2328, -2.0944, -6.28319
0.192, -1.5708, 1.64061, -3.14159, 2.49582, -4.71239, -2.0944, -6.28319
0.224, -1.5708, 1.64061, -3.14159, 2.49582, -4.71239, -2.0944, -6.28319
0.256, -1.5708, 1.64061, -3.14159, 2.49582, -4.71239, -2.0944, -6.28319
0.288, -1.5708, 1.64061, -3.14159, 2.49582, -4.71239, -2.0944, -6.28319
0.32, -1.5708, 1.64061, -3.14159, -2.49582, -2.11722, -2.0944, -6.28319
0.352, 1.5708, 1.64061, -3.14159, 2.49582, -4.71239, -2.0944, -6.28319
0.384, 1.5708, -1.64061, -3.14159, 2.49582, -4.71239, -2.0944, -6.28319
0.416, 1.5708, -1.64061, -3.14159, 2.49582, -4.71239, -2.0944, -6.28319
0.448, 1.5708, -1.64061, -3.14159, 2.49582, -4.71239, -2.0944, -6.28319
0.48, 1.5708, -1.64061, -3.14159, 2.49582, -4.71239, -2.0944, -6.28319
0.512, -1.5708, 1.64061, -3.14159, -2.49582, -4.71239, -2.0944, -6.28319
0.544, -1.5708, 1.64061, -3.14159, 0.370726, -4.71239, 2.0944, -6.28319
0.576, -1.5708, 1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
0.608, -1.5708, -1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
0.64, -1.5708, -1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
0.672, -1.5708, -1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
0.704, -1.5708, -1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
0.736, -1.5708, -1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
0.768, -1.5708, -1.64061, 3.14159, 1.23116, -4.71239, 2.0944, -6.28319
0.8, -1.5708, -1.64061, 3.14159, -2.49582, -4.71239, 1.76184, -6.28319
0.832, -1.5708, -1.64061, 3.14159, -2.49582, -4.71239, -2.0944, -6.28319
0.864, -1.5708, -1.64061, 3.14159, -2.49582, -4.71239, -2.0944, -6.28319
0.896, -inf, inf, inf, -inf, -inf, inf, -inf
0.928, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, -6.28319
0.96, -inf, inf, inf, -inf, -inf, inf, -inf
0.992, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, 0.470731
1.024, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, 1.39112
1.056, -inf, inf, inf, -inf, -inf, inf, -inf
1.088, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, -0.263688
1.12, -inf, inf, inf, -inf, -inf, inf, -inf
1.152, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, -4.78551
1.184, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, -0.716277
1.216, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, -0.722505
1.248, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, -0.542662
1.28, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, -1.8312
1.312, -1.5708, 1.64061, 3.14159, -2.49582, -4.71239, 2.0944, -6.28319
1.344, -1.29703, 1.64061, 3.14159, -2.49582, -4.71239, -2.0944, -6.28319
1.376, -1.5708, -1.64061, 3.14159, -2.49582, -4.71239, -2.0944, -6.28319
1.408, -1.5708, -1.64061, 3.14159, 2.35476, -4.71239, 1.71436, -6.28319
1.44, -1.5708, -1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
1.472, -1.5708, -1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
1.504, -1.5708, -1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
1.536, -1.5708, -1.64061, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
1.568, -1.5708, 1.14381, 3.14159, 2.49582, -4.71239, 2.0944, -6.28319
1.6, -1.5708, -1.64061, 0.637503, 2.49582, -4.71239, -2.0944, -6.28319
