time[s], x, y, z, R, P, Y
0, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
0.3, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
0.6, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
0.9, 0.112339, -0.34792, 1.68768, -3.13593, 0.0306124, 1.54129, 
1.2, 0.222361, -0.406918, 1.75891, 2.93702, 0.290251, 1.56476, 
1.5, 0.262615, -0.419047, 1.81234, 3.1336, 0.452633, 1.78498, 
1.8, 0.377067, -0.226745, 1.95732, 3.04544, 0.273939, 2.29378, 
2.1, 0.169357, -0.407498, 1.99782, 2.94455, 0.185339, 2.29785, 
2.4, -0.149164, -0.504132, 1.97315, 2.23471, -0.415117, 2.42941, 
2.7, 0.243475, -0.482819, 1.86115, 1.33721, -0.533841, -2.83663, 
3, 0.367831, -0.428847, 1.68101, 2.32275, -0.676356, -2.85312, 
3.3, 0.592301, -0.0585159, 1.82086, -3.14112, -0.676634, 3.04688, 
3.6, 0.646671, 0.091186, 1.86996, 3.12788, -0.796098, 3.07371, 
3.9, 0.674826, 0.0305781, 1.93204, 2.66189, -0.812322, -2.93569, 
4.2, 0.799718, 0.118463, 1.83761, -1.75786, 0.115509, 2.30302, 
4.5, 0.739334, -0.117422, 1.88146, -1.81245, 0.087346, 2.1948, 
4.8, 0.704756, -0.101404, 1.9441, -1.13569, 0.189376, 2.50152, 
5.1, 0.546176, -0.372029, 1.936, -1.62793, 0.300954, 2.04934, 
5.4, 0.584441, -0.405187, 1.94438, -0.675687, 0.630039, 2.89097, 
5.7, 0.409483, -0.529645, 1.93168, 0.320981, -0.0508639, -3.06982, 
6, 0.54625, -0.45163, 1.94638, 0.603958, -0.0616389, -2.47737, 
6.3, 0.593069, -0.309276, 1.93172, 0.684063, -0.00530969, -3.08973, 
6.6, 0.687512, -0.152554, 1.95055, 0.949311, 0.0501402, -2.51944, 
6.9, 0.670408, 0.00057443, 1.93202, 1.00892, 0.0820729, -3.12468, 
7.2, 0.67328, 0.183114, 1.95644, 1.20787, 0.219823, -2.61707, 
7.5, 0.594731, 0.32214, 1.93005, 1.23762, 0.211369, 3.07117, 
7.8, 0.503628, 0.473684, 1.96174, 1.2559, 0.418878, -2.87515, 
8.1, 0.447239, 0.764427, 1.7207, 1.40992, 0.802494, 2.98453, 
8.4, 0.419721, 0.827145, 1.66919, 1.70131, 0.587657, -2.64068, 
8.7, 0.448725, 0.763295, 1.72023, 1.40528, 0.810088, 2.97681, 
9, 0.419574, 0.826685, 1.67017, 1.6988, 0.587297, -2.64532, 
9.3, 0.447239, 0.764427, 1.7207, 1.40992, 0.802494, 2.98453, 
9.6, 0.419574, 0.826685, 1.67017, 1.6988, 0.587297, -2.64532, 
9.9, 0.450249, 0.76214, 1.71973, 1.40057, 0.817806, 2.96914, 
10.2, 0.419283, 0.82577, 1.67211, 1.69382, 0.586619, -2.6546, 
10.5, 0.453409, 0.759758, 1.71867, 1.39091, 0.833613, 2.95395, 
10.8, 0.418451, 0.823057, 1.67771, 1.67923, 0.584929, -2.68255, 
11.1, 0.455878, 0.757907, 1.71782, 1.38346, 0.845786, 2.94268, 
11.4, 0.418319, 0.822609, 1.67861, 1.67685, 0.584701, -2.68722, 
11.7, 0.457571, 0.75664, 1.71722, 1.37838, 0.854051, 2.93523, 
12, 0.417935, 0.821275, 1.68127, 1.66979, 0.584114, -2.70124, 
12.3, 0.458432, 0.755996, 1.71691, 1.37581, 0.858228, 2.93153, 
