time[s], x, y, z, R, P, Y
0, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
0.3, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
0.6, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
0.9, -0.0176807, -0.31877, 1.69329, 3.10664, 0.00778478, 1.5709, 
1.2, -0.0353159, -0.317409, 1.69338, 3.07171, 0.015611, 1.57131, 
1.5, -0.0525847, -0.315376, 1.69332, 3.03739, 0.0233132, 1.57146, 
1.8, -0.0697488, -0.312474, 1.69339, 3.00309, 0.0310526, 1.57204, 
2.1, -0.0868102, -0.309072, 1.69305, 2.96877, 0.0387715, 1.57168, 
2.4, -0.103729, -0.304991, 1.69257, 2.93446, 0.0464878, 1.57107, 
2.7, -0.119872, -0.300239, 1.69224, 2.90137, 0.0539657, 1.57093, 
3, -0.135803, -0.294687, 1.69204, 2.86831, 0.061487, 1.57123, 
3.3, -0.150956, -0.288749, 1.69175, 2.83645, 0.068744, 1.57136, 
3.6, -0.15143, -0.290103, 1.68961, 2.83574, 0.0685355, 1.56587, 
3.9, -0.149927, -0.292524, 1.6871, 2.83926, 0.0673283, 1.55932, 
4.2, -0.148724, -0.295001, 1.68429, 2.84217, 0.0662184, 1.55202, 
4.5, -0.147799, -0.297355, 1.68145, 2.84448, 0.0652455, 1.54468, 
4.8, -0.147175, -0.299762, 1.6783, 2.84618, 0.0643636, 1.5366, 
5.1, -0.14594, -0.302168, 1.67545, 2.84911, 0.0632831, 1.52928, 
5.4, -0.145879, -0.30433, 1.67223, 2.8496, 0.0626585, 1.52109, 
5.7, -0.146996, -0.306238, 1.66864, 2.84764, 0.0624739, 1.51205, 
6, -0.147797, -0.30805, 1.66533, 2.8463, 0.0622047, 1.50374, 
6.3, -0.214947, -0.250056, 1.69057, 2.69248, 0.105884, 1.57446, 
6.6, -0.136746, -0.298116, 1.67017, 2.8665, 0.0682392, 1.51583, 
6.9, -0.115467, -0.302149, 1.67431, 2.91063, 0.0595552, 1.52545, 
7.2, -0.183282, -0.307182, 1.61086, 2.76857, 0.0741056, 1.3675, 
7.5, -0.207513, -0.304169, 1.58942, 2.71539, 0.0777949, 1.31571, 
7.8, -0.216341, -0.30198, 1.58288, 2.69552, 0.0791665, 1.30008, 
8.1, -0.236715, -0.243327, 1.65588, 2.63401, 0.107675, 1.48512, 
8.4, -0.228296, -0.2795, 1.60235, 2.66259, 0.0918605, 1.34834, 
8.7, -0.221926, -0.290722, 1.58696, 2.67893, 0.0865806, 1.30989, 
9, -0.23791, -0.235213, 1.6571, 2.62713, 0.112954, 1.48893, 
9.3, -0.227806, -0.273737, 1.60251, 2.66031, 0.0960907, 1.34832, 
9.6, -0.118978, -0.334495, 1.545, 2.90263, 0.0721779, 1.19487, 
9.9, -0.177607, -0.299658, 1.57246, 2.77208, 0.0937662, 1.26435, 
10.2, -0.0925699, -0.334726, 1.53548, 2.95596, 0.0767105, 1.16658, 
10.5, -0.163722, -0.294366, 1.57232, 2.79846, 0.10342, 1.26049, 
10.8, -0.199063, -0.294212, 1.51692, 2.71131, 0.0999761, 1.12197, 
11.1, -0.206837, -0.273874, 1.56131, 2.69453, 0.110543, 1.23302, 
11.4, -0.215371, -0.284004, 1.51283, 2.67045, 0.102794, 1.11112, 
11.7, -0.213155, -0.268267, 1.56018, 2.67793, 0.111458, 1.22949, 
12, -0.212198, -0.261696, 1.5765, 2.68013, 0.114464, 1.27075, 
12.3, -0.212611, -0.258843, 1.58207, 2.67897, 0.115747, 1.28494, 
12.6, -0.213093, -0.257636, 1.58398, 2.67771, 0.116304, 1.28983, 
12.9, -0.212814, -0.25752, 1.58458, 2.67838, 0.116336, 1.29135, 
13.2, -0.212241, -0.257021, 1.58634, 2.67972, 0.11651, 1.29582, 
13.5, -0.110828, -0.308008, 1.54301, 2.91093, 0.0970274, 1.17652, 
13.8, -0.118365, -0.291589, 1.57842, 2.89764, 0.104129, 1.26671, 
14.1, -0.176105, -0.262191, 1.58595, 2.76311, 0.12555, 1.28915, 
14.4, -0.0938859, -0.301677, 1.54322, 2.94686, 0.107196, 1.17235, 
14.7, -0.162909, -0.260682, 1.57581, 2.78779, 0.134777, 1.25963, 
15, -0.196468, -0.262156, 1.52169, 2.69869, 0.130596, 1.12018, 
