time[s], x, y, z, R, P, Y
0, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
0.3, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
0.6, 2.29038e-17, -0.319048, 1.69359, -3.14159, -4.87609e-20, 1.57159, 
0.9, -0.0177921, -0.3244, 1.69345, 3.10583, 0.00133114, 1.57188, 
1.2, -0.0356183, -0.328161, 1.69337, 3.07062, 0.00437031, 1.57238, 
1.5, -0.0539974, -0.334315, 1.69304, 3.03457, 0.00435799, 1.57281, 
1.8, -0.072903, -0.343348, 1.69254, 2.99881, 0.00423392, 1.57374, 
2.1, -0.0924177, -0.350612, 1.69223, 2.96341, 0.0102759, 1.57561, 
2.4, -0.112117, -0.359237, 1.69144, 2.92767, 0.0118545, 1.57706, 
2.7, -0.131997, -0.368304, 1.69055, 2.89203, 0.011867, 1.57912, 
3, -0.131997, -0.368304, 1.69055, 2.89203, 0.011867, 1.57912, 
3.3, -0.175813, -0.390652, 1.68771, 2.81937, 0.0249434, 1.58706, 
3.6, -0.168644, -0.385382, 1.68774, 2.81612, -0.0663408, 1.58224, 
3.9, -0.16261, -0.387323, 1.68666, 2.81197, -0.166444, 1.57771, 
4.2, -0.157376, -0.390082, 1.68498, 2.80761, -0.265327, 1.57286, 
4.5, -0.152336, -0.393235, 1.68292, 2.80341, -0.367507, 1.56791, 
4.8, -0.152336, -0.393235, 1.68292, 2.80341, -0.367507, 1.56791, 
5.1, -0.139125, -0.389351, 1.67905, 2.79783, -0.568616, 1.55755, 
5.4, -0.137268, -0.399436, 1.67464, 2.79576, -0.673813, 1.54914, 
5.7, -0.133116, -0.400662, 1.67164, 2.79416, -0.77069, 1.54201, 
6, -0.127624, -0.399978, 1.66785, 2.79522, -0.877507, 1.53148, 
6.3, -0.124073, -0.402846, 1.66397, 2.79811, -0.979731, 1.51979, 
6.6, -0.103111, -0.391103, 1.66954, 2.80655, -0.979278, 1.54805, 
6.9, -0.0823489, -0.382168, 1.6759, 2.81432, -0.977679, 1.58137, 
7.2, -0.0616207, -0.371797, 1.68165, 2.8238, -0.973394, 1.61337, 
7.5, -0.0424031, -0.3649, 1.68757, 2.83168, -0.974668, 1.64671, 
7.8, -0.0230966, -0.356637, 1.69311, 2.84173, -0.971983, 1.67888, 
8.1, -0.00529676, -0.351982, 1.69916, 2.85025, -0.972108, 1.71232, 
8.4, 0.0126925, -0.346724, 1.70475, 2.85936, -0.974042, 1.7452, 
8.7, 0.0299644, -0.343581, 1.71057, 2.86875, -0.976086, 1.77799, 
9, 0.0471032, -0.339685, 1.71633, 2.88057, -0.974242, 1.80919, 
9.3, 0.0634071, -0.34043, 1.72309, 2.88838, -0.977861, 1.844, 
9.6, 0.0634071, -0.34043, 1.72309, 2.88838, -0.977861, 1.844, 
9.9, 0.0649216, -0.339441, 1.7235, 2.88901, -0.977969, 1.84684, 
10.2, 0.0653597, -0.337848, 1.72298, 2.88908, -0.979269, 1.84633, 
10.5, 0.0649796, -0.339984, 1.72339, 2.88905, -0.979084, 1.84674, 
10.8, 0.0652276, -0.338408, 1.72312, 2.88811, -0.980211, 1.84711, 
11.1, 0.0648471, -0.340543, 1.72353, 2.88808, -0.980026, 1.84753, 
11.4, 0.0652515, -0.338244, 1.72309, 2.88839, -0.979831, 1.8469, 
11.7, 0.0648711, -0.340379, 1.7235, 2.88837, -0.979647, 1.84731, 
12, 0.0651193, -0.338803, 1.72323, 2.88742, -0.980774, 1.84769, 
12.3, 0.0652157, -0.33865, 1.72329, 2.88967, -0.977818, 1.8464, 
12.6, 0.052912, -0.343935, 1.71966, 2.81209, -1.06062, 1.8741, 
12.9, 0.0382612, -0.350842, 1.71671, 2.70556, -1.15275, 1.92607, 
13.2, 0.0225253, -0.358996, 1.7145, 2.56841, -1.241, 2.01008, 
13.5, 0.0068275, -0.36534, 1.71158, 2.3598, -1.3292, 2.16477, 
13.8, -0.0111576, -0.374471, 1.7094, 2.00244, -1.40323, 2.46878, 
14.1, -0.028864, -0.38188, 1.7066, 1.29174, -1.44333, 3.12587, 
14.4, -0.0467631, -0.38765, 1.7038, 0.560502, -1.41256, -2.47892, 
14.7, -0.065801, -0.393999, 1.70106, 0.15101, -1.33648, -2.12246, 
15, -0.0851712, -0.399812, 1.69856, -0.0655179, -1.24757, -1.95758, 
